Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
64,2048,MPI BNVD,-42.0,0.0649748
1,2048,MPI BOD,-42.0,0.1151692
4,2048,MPI BOD,-42.0,0.0433626
16,2048,MPI BOD,-42.0,0.024225199999999995
64,2048,MPI BOD,-42.0,0.0296142
1,4096,MPI BB,-42.0,0.42955059999999995
4,4096,MPI BB,-42.0,0.24555980000000002
16,4096,MPI BB,-42.0,0.31787299999999996
64,4096,MPI BB,-42.0,1.2823243999999998
1,4096,MPI BDV,-42.0,0.43211259999999996
4,4096,MPI BDV,-42.0,0.1557766
16,4096,MPI BDV,-42.0,0.10114019999999999
64,4096,MPI BDV,-42.0,0.08869
1,4096,MPI BNVD,-42.0,0.6139664
4,4096,MPI BNVD,-42.0,0.32721340000000004
16,4096,MPI BNVD,-42.0,0.2671774
64,4096,MPI BNVD,-42.0,0.2753908
1,4096,MPI BOD,-42.0,0.502872
4,4096,MPI BOD,-42.0,0.18131380000000002
16,4096,MPI BOD,-42.0,0.1074022
64,4096,MPI BOD,-42.0,0.0954242
