dim,omp,imp,seq,peak
4,14222222.22,320000000,640000000,281568000000
8,26947368.42,640000000,2560000000,
16,85333333.33,2560000000,2048000000,
32,315076923.1,5851428571,1950476190,
64,963764705.9,3810232558,2824827586,
128,39694730.47,1956298507,2348960573,
256,147895063.5,2100512821,1207480424,
512,621194312.8,2210320405,722309017,
1024,1711611508,2530194848,399792588.1,
2048,3320905780,1808786252,384425568.8,
4096,13366968230,1645639851,377474997.7,
