Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
81,16,OMP,0.0014894,4.96E-05,1.07E-03,2.02E-02,1.33E-03,2.49E-02,
82,16,OMP,0.0016214,7.18E-05,9.87E-04,1.39E-02,1.20E-03,1.70E-02,
83,16,OMP,0.0017616,5.02E-05,9.08E-04,1.99E-02,1.09E-03,2.40E-02,
84,16,OMP,0.0015596,4.30E-05,1.03E-03,2.33E-02,1.22E-03,2.77E-02,
85,16,OMP,0.001634,6.04E-05,9.79E-04,1.66E-02,1.15E-03,1.95E-02,
86,16,OMP,0.001732,4.78E-05,9.24E-04,2.09E-02,1.07E-03,2.43E-02,
87,16,OMP,0.001961,5.16E-05,8.16E-04,1.94E-02,9.38E-04,2.23E-02,
88,16,OMP,0.0017082,4.90E-05,9.37E-04,2.04E-02,1.06E-03,2.32E-02,
89,16,OMP,0.0017002,5.30E-05,9.41E-04,1.89E-02,1.06E-03,2.12E-02,
90,16,OMP,0.0017432,4.74E-05,9.18E-04,2.11E-02,1.02E-03,2.34E-02,
91,16,OMP,0.0061674,0.0010168,2.59E-04,9.83E-04,2.85E-04,1.08E-03,
92,16,OMP,0.0066476,5.46E-05,2.41E-04,1.83E-02,2.62E-04,1.99E-02,
93,16,OMP,0.0063152,0.0019514,2.53E-04,5.12E-04,2.72E-04,5.51E-04,
94,16,OMP,0.0111434,0.0057428,1.44E-04,1.74E-04,1.53E-04,1.85E-04,
95,16,OMP,0.0093066,0.0038394,1.72E-04,2.60E-04,1.81E-04,2.74E-04,
96,16,OMP,0.009162,0.006662,1.75E-04,1.50E-04,1.82E-04,1.56E-04,
1,32,SEQ,6.40E-06,4.20E-06,0,0,0,0,
1,32,OMP,2.40E-05,7.00E-06,2.67E-01,6.00E-01,2.67E+01,6.00E+01,
2,32,OMP,9.64E-05,1.48E-05,6.64E-02,2.84E-01,3.32E+00,1.42E+01,
3,32,OMP,9.74E-05,1.20E-05,6.57E-02,3.50E-01,2.19E+00,1.17E+01,
4,32,OMP,0.0001544,1.70E-05,4.15E-02,2.47E-01,1.04E+00,6.18E+00,
5,32,OMP,0.000152,1.36E-05,4.21E-02,3.09E-01,8.42E-01,6.18E+00,
6,32,OMP,0.0001516,1.26E-05,4.22E-02,3.33E-01,7.04E-01,5.56E+00,
7,32,OMP,0.000152,1.60E-05,4.21E-02,2.63E-01,6.02E-01,3.75E+00,
8,32,OMP,0.0001656,1.24E-05,3.86E-02,3.39E-01,4.83E-01,4.23E+00,
9,32,OMP,0.0002378,2.16E-05,2.69E-02,1.94E-01,2.99E-01,2.16E+00,
10,32,OMP,0.000344,2.20E-05,1.86E-02,1.91E-01,1.86E-01,1.91E+00,
11,32,OMP,0.0002308,1.40E-05,2.77E-02,3.00E-01,2.52E-01,2.73E+00,
12,32,OMP,0.0004376,2.40E-05,1.46E-02,1.75E-01,1.22E-01,1.46E+00,
13,32,OMP,0.0004436,1.94E-05,1.44E-02,2.16E-01,1.11E-01,1.67E+00,
14,32,OMP,0.000414,1.78E-05,1.55E-02,2.36E-01,1.10E-01,1.69E+00,
15,32,OMP,0.0005038,1.70E-05,1.27E-02,2.47E-01,8.47E-02,1.65E+00,
16,32,OMP,0.000368,1.74E-05,1.74E-02,2.41E-01,1.09E-01,1.51E+00,
17,32,OMP,0.0004894,2.20E-05,1.31E-02,1.91E-01,7.69E-02,1.12E+00,
18,32,OMP,0.0005924,1.78E-05,1.08E-02,2.36E-01,6.00E-02,1.31E+00,
19,32,OMP,0.0004584,1.96E-05,1.40E-02,2.14E-01,7.35E-02,1.13E+00,
20,32,OMP,0.000612,2.12E-05,1.05E-02,1.98E-01,5.23E-02,9.91E-01,
21,32,OMP,0.000525,1.52E-05,1.22E-02,2.76E-01,5.80E-02,1.32E+00,
22,32,OMP,0.0005016,2.78E-05,1.28E-02,1.51E-01,5.80E-02,6.87E-01,
23,32,OMP,0.0004112,2.14E-05,1.56E-02,1.96E-01,6.77E-02,8.53E-01,
24,32,OMP,0.0004454,2.48E-05,1.44E-02,1.69E-01,5.99E-02,7.06E-01,
25,32,OMP,0.0004366,2.10E-05,1.47E-02,2.00E-01,5.86E-02,8.00E-01,
26,32,OMP,0.0005018,2.14E-05,1.28E-02,1.96E-01,4.91E-02,7.55E-01,
27,32,OMP,0.0005984,2.06E-05,1.07E-02,2.04E-01,3.96E-02,7.55E-01,
28,32,OMP,0.0006124,2.52E-05,1.05E-02,1.67E-01,3.73E-02,5.95E-01,
29,32,OMP,0.0005824,2.32E-05,1.10E-02,1.81E-01,3.79E-02,6.24E-01,
30,32,OMP,0.0005536,2.16E-05,1.16E-02,1.94E-01,3.85E-02,6.48E-01,
31,32,OMP,0.000667,2.76E-05,9.60E-03,1.52E-01,3.10E-02,4.91E-01,
32,32,OMP,0.0005552,2.94E-05,1.15E-02,1.43E-01,3.60E-02,4.46E-01,
33,32,OMP,0.000576,2.16E-05,1.11E-02,1.94E-01,3.37E-02,5.89E-01,
34,32,OMP,0.0006562,2.64E-05,9.75E-03,1.59E-01,2.87E-02,4.68E-01,
35,32,OMP,0.0006862,3.24E-05,9.33E-03,1.30E-01,2.66E-02,3.70E-01,
36,32,OMP,0.0006794,3.30E-05,9.42E-03,1.27E-01,2.62E-02,3.54E-01,
37,32,OMP,0.0006298,2.80E-05,1.02E-02,1.50E-01,2.75E-02,4.05E-01,
38,32,OMP,0.0006452,3.36E-05,9.92E-03,1.25E-01,2.61E-02,3.29E-01,
39,32,OMP,0.0008438,2.58E-05,7.58E-03,1.63E-01,1.94E-02,4.17E-01,
40,32,OMP,0.0009168,2.64E-05,6.98E-03,1.59E-01,1.75E-02,3.98E-01,
41,32,OMP,0.0009458,3.74E-05,6.77E-03,1.12E-01,1.65E-02,2.74E-01,
42,32,OMP,0.0008586,2.88E-05,7.45E-03,1.46E-01,1.77E-02,3.47E-01,
43,32,OMP,0.0008916,3.42E-05,7.18E-03,1.23E-01,1.67E-02,2.86E-01,
44,32,OMP,0.0009958,2.78E-05,6.43E-03,1.51E-01,1.46E-02,3.43E-01,
45,32,OMP,0.000992,2.82E-05,6.45E-03,1.49E-01,1.43E-02,3.31E-01,
46,32,OMP,0.0009446,5.20E-05,6.78E-03,8.08E-02,1.47E-02,1.76E-01,
47,32,OMP,0.0009592,3.56E-05,6.67E-03,1.18E-01,1.42E-02,2.51E-01,
48,32,OMP,0.0008658,3.04E-05,7.39E-03,1.38E-01,1.54E-02,2.88E-01,
49,32,OMP,0.0010954,3.26E-05,5.84E-03,1.29E-01,1.19E-02,2.63E-01,
50,32,OMP,0.0011138,5.00E-05,5.75E-03,8.40E-02,1.15E-02,1.68E-01,
51,32,OMP,0.0009916,3.48E-05,6.45E-03,1.21E-01,1.27E-02,2.37E-01,
52,32,OMP,0.0009122,3.28E-05,7.02E-03,1.28E-01,1.35E-02,2.46E-01,
53,32,OMP,0.0011938,4.04E-05,5.36E-03,1.04E-01,1.01E-02,1.96E-01,
54,32,OMP,0.001251,3.40E-05,5.12E-03,1.24E-01,9.47E-03,2.29E-01,
55,32,OMP,0.0010214,3.92E-05,6.27E-03,1.07E-01,1.14E-02,1.95E-01,
56,32,OMP,0.0010038,3.28E-05,6.38E-03,1.28E-01,1.14E-02,2.29E-01,
57,32,OMP,0.0010294,5.02E-05,6.22E-03,8.37E-02,1.09E-02,1.47E-01,
58,32,OMP,0.0010166,2.82E-05,6.30E-03,1.49E-01,1.09E-02,2.57E-01,
59,32,OMP,0.0010718,3.04E-05,5.97E-03,1.38E-01,1.01E-02,2.34E-01,
60,32,OMP,0.001327,4.78E-05,4.82E-03,8.79E-02,8.04E-03,1.46E-01,
61,32,OMP,0.001077,4.34E-05,5.94E-03,9.68E-02,9.74E-03,1.59E-01,
62,32,OMP,0.0011712,3.18E-05,5.46E-03,1.32E-01,8.81E-03,2.13E-01,
63,32,OMP,0.0011088,4.20E-05,5.77E-03,1.00E-01,9.16E-03,1.59E-01,
64,32,OMP,0.0011296,4.96E-05,5.67E-03,8.47E-02,8.85E-03,1.32E-01,
65,32,OMP,0.001243,3.20E-05,5.15E-03,1.31E-01,7.92E-03,2.02E-01,
66,32,OMP,0.0011738,4.40E-05,5.45E-03,9.55E-02,8.26E-03,1.45E-01,
67,32,OMP,0.0012652,3.70E-05,5.06E-03,1.14E-01,7.55E-03,1.69E-01,
68,32,OMP,0.0012128,4.52E-05,5.28E-03,9.29E-02,7.76E-03,1.37E-01,
69,32,OMP,0.0012424,4.00E-05,5.15E-03,1.05E-01,7.47E-03,1.52E-01,
70,32,OMP,0.0016738,5.48E-05,3.82E-03,7.66E-02,5.46E-03,1.09E-01,
71,32,OMP,0.0014016,7.36E-05,4.57E-03,5.71E-02,6.43E-03,8.04E-02,
72,32,OMP,0.001435,4.04E-05,4.46E-03,1.04E-01,6.19E-03,1.44E-01,
73,32,OMP,0.0015518,4.18E-05,4.12E-03,1.00E-01,5.65E-03,1.38E-01,
74,32,OMP,0.0014868,4.36E-05,4.30E-03,9.63E-02,5.82E-03,1.30E-01,
75,32,OMP,0.0014074,6.56E-05,4.55E-03,6.40E-02,6.06E-03,8.54E-02,
76,32,OMP,0.0016642,4.54E-05,3.85E-03,9.25E-02,5.06E-03,1.22E-01,
77,32,OMP,0.0015012,4.82E-05,4.26E-03,8.71E-02,5.54E-03,1.13E-01,
78,32,OMP,0.0017236,4.50E-05,3.71E-03,9.33E-02,4.76E-03,1.20E-01,
79,32,OMP,0.0016962,4.44E-05,3.77E-03,9.46E-02,4.78E-03,1.20E-01,
80,32,OMP,0.001483,4.84E-05,4.32E-03,8.68E-02,5.39E-03,1.08E-01,
81,32,OMP,0.001535,5.54E-05,4.17E-03,7.58E-02,5.15E-03,9.36E-02,
82,32,OMP,0.0015308,4.60E-05,4.18E-03,9.13E-02,5.10E-03,1.11E-01,
83,32,OMP,0.0014914,4.42E-05,4.29E-03,9.50E-02,5.17E-03,1.14E-01,
84,32,OMP,0.0014838,4.48E-05,4.31E-03,9.38E-02,5.13E-03,1.12E-01,
85,32,OMP,0.003574,5.40E-05,1.79E-03,7.78E-02,2.11E-03,9.15E-02,
86,32,OMP,0.0023204,5.38E-05,2.76E-03,7.81E-02,3.21E-03,9.08E-02,
87,32,OMP,0.0021966,5.32E-05,2.91E-03,7.89E-02,3.35E-03,9.07E-02,
88,32,OMP,0.0027308,6.36E-05,2.34E-03,6.60E-02,2.66E-03,7.50E-02,
89,32,OMP,0.0024552,6.76E-05,2.61E-03,6.21E-02,2.93E-03,6.98E-02,
90,32,OMP,0.0050634,5.92E-05,1.26E-03,7.09E-02,1.40E-03,7.88E-02,
91,32,OMP,0.0061596,0.0010376,1.04E-03,4.05E-03,1.14E-03,4.45E-03,
92,32,OMP,0.0074864,0.0019278,8.55E-04,2.18E-03,9.29E-04,2.37E-03,
93,32,OMP,0.0047276,0.0019484,1.35E-03,2.16E-03,1.46E-03,2.32E-03,
94,32,OMP,0.0074824,0.0019664,8.55E-04,2.14E-03,9.10E-04,2.27E-03,
95,32,OMP,0.0098534,0.0075994,6.50E-04,5.53E-04,6.84E-04,5.82E-04,
96,32,OMP,0.0091152,0.0075872,7.02E-04,5.54E-04,7.31E-04,5.77E-04,
1,64,SEQ,1.28E-05,1.16E-05,0,0,0,0,
1,64,OMP,4.16E-05,2.56E-05,3.08E-01,4.53E-01,3.08E+01,4.53E+01,
2,64,OMP,0.0001002,2.04E-05,1.28E-01,5.69E-01,6.39E+00,2.84E+01,
3,64,OMP,0.0001526,3.74E-05,8.39E-02,3.10E-01,2.80E+00,1.03E+01,
4,64,OMP,0.0001158,2.20E-05,1.11E-01,5.27E-01,2.76E+00,1.32E+01,
5,64,OMP,0.000136,2.16E-05,9.41E-02,5.37E-01,1.88E+00,1.07E+01,
6,64,OMP,0.0002184,2.16E-05,5.86E-02,5.37E-01,9.77E-01,8.95E+00,
7,64,OMP,0.0001908,2.82E-05,6.71E-02,4.11E-01,9.58E-01,5.88E+00,
8,64,OMP,0.0001874,2.50E-05,6.83E-02,4.64E-01,8.54E-01,5.80E+00,
9,64,OMP,0.0002992,3.00E-05,4.28E-02,3.87E-01,4.75E-01,4.30E+00,
10,64,OMP,0.0003382,3.42E-05,3.78E-02,3.39E-01,3.78E-01,3.39E+00,
11,64,OMP,0.0004056,4.38E-05,3.16E-02,2.65E-01,2.87E-01,2.41E+00,
12,64,OMP,0.0003294,2.82E-05,3.89E-02,4.11E-01,3.24E-01,3.43E+00,
13,64,OMP,0.0004156,3.42E-05,3.08E-02,3.39E-01,2.37E-01,2.61E+00,
14,64,OMP,0.0003826,3.94E-05,3.35E-02,2.94E-01,2.39E-01,2.10E+00,
15,64,OMP,0.0003086,2.90E-05,4.15E-02,4.00E-01,2.77E-01,2.67E+00,
16,64,OMP,0.0003004,2.86E-05,4.26E-02,4.06E-01,2.66E-01,2.53E+00,
17,64,OMP,0.0003432,2.94E-05,3.73E-02,3.95E-01,2.19E-01,2.32E+00,
18,64,OMP,0.0005626,4.92E-05,2.28E-02,2.36E-01,1.26E-01,1.31E+00,
19,64,OMP,0.00044,3.02E-05,2.91E-02,3.84E-01,1.53E-01,2.02E+00,
20,64,OMP,0.000413,3.14E-05,3.10E-02,3.69E-01,1.55E-01,1.85E+00,
21,64,OMP,0.0005008,3.58E-05,2.56E-02,3.24E-01,1.22E-01,1.54E+00,
22,64,OMP,0.0004646,3.70E-05,2.76E-02,3.14E-01,1.25E-01,1.43E+00,
23,64,OMP,0.0004346,3.46E-05,2.95E-02,3.35E-01,1.28E-01,1.46E+00,
24,64,OMP,0.0005672,3.92E-05,2.26E-02,2.96E-01,9.40E-02,1.23E+00,
25,64,OMP,0.0004628,3.30E-05,2.77E-02,3.52E-01,1.11E-01,1.41E+00,
26,64,OMP,0.0007152,3.78E-05,1.79E-02,3.07E-01,6.88E-02,1.18E+00,
27,64,OMP,0.0008368,5.54E-05,1.53E-02,2.09E-01,5.67E-02,7.76E-01,
28,64,OMP,0.0005156,3.48E-05,2.48E-02,3.33E-01,8.87E-02,1.19E+00,
29,64,OMP,0.0007278,4.24E-05,1.76E-02,2.74E-01,6.06E-02,9.43E-01,
30,64,OMP,0.0005658,3.38E-05,2.26E-02,3.43E-01,7.54E-02,1.14E+00,
31,64,OMP,0.0006228,3.64E-05,2.06E-02,3.19E-01,6.63E-02,1.03E+00,
32,64,OMP,0.0007274,4.14E-05,1.76E-02,2.80E-01,5.50E-02,8.76E-01,
33,64,OMP,0.0006242,3.86E-05,2.05E-02,3.01E-01,6.21E-02,9.11E-01,
34,64,OMP,0.0008762,4.00E-05,1.46E-02,2.90E-01,4.30E-02,8.53E-01,
35,64,OMP,0.0006892,3.92E-05,1.86E-02,2.96E-01,5.31E-02,8.45E-01,
36,64,OMP,0.0007632,4.26E-05,1.68E-02,2.72E-01,4.66E-02,7.56E-01,
37,64,OMP,0.0007858,3.94E-05,1.63E-02,2.94E-01,4.40E-02,7.96E-01,
38,64,OMP,0.000706,3.92E-05,1.81E-02,2.96E-01,4.77E-02,7.79E-01,
39,64,OMP,0.0008356,4.60E-05,1.53E-02,2.52E-01,3.93E-02,6.47E-01,
40,64,OMP,0.0007196,4.06E-05,1.78E-02,2.86E-01,4.45E-02,7.14E-01,
41,64,OMP,0.0007258,4.68E-05,1.76E-02,2.48E-01,4.30E-02,6.05E-01,
42,64,OMP,0.0007966,4.06E-05,1.61E-02,2.86E-01,3.83E-02,6.80E-01,
43,64,OMP,0.0007654,4.24E-05,1.67E-02,2.74E-01,3.89E-02,6.36E-01,
44,64,OMP,0.0009348,4.40E-05,1.37E-02,2.64E-01,3.11E-02,5.99E-01,
45,64,OMP,0.0007802,4.50E-05,1.64E-02,2.58E-01,3.65E-02,5.73E-01,
46,64,OMP,0.0009566,4.72E-05,1.34E-02,2.46E-01,2.91E-02,5.34E-01,
47,64,OMP,0.0009236,4.58E-05,1.39E-02,2.53E-01,2.95E-02,5.39E-01,
48,64,OMP,0.0008574,4.46E-05,1.49E-02,2.60E-01,3.11E-02,5.42E-01,
49,64,OMP,0.000931,4.40E-05,1.37E-02,2.64E-01,2.81E-02,5.38E-01,
50,64,OMP,0.0008662,4.28E-05,1.48E-02,2.71E-01,2.96E-02,5.42E-01,
51,64,OMP,0.0010018,4.80E-05,1.28E-02,2.42E-01,2.51E-02,4.74E-01,
52,64,OMP,0.0010308,4.52E-05,1.24E-02,2.57E-01,2.39E-02,4.94E-01,
53,64,OMP,0.0012024,5.80E-05,1.06E-02,2.00E-01,2.01E-02,3.77E-01,
54,64,OMP,0.0010602,5.44E-05,1.21E-02,2.13E-01,2.24E-02,3.95E-01,
55,64,OMP,0.0011974,5.10E-05,1.07E-02,2.27E-01,1.94E-02,4.14E-01,
56,64,OMP,0.001245,4.94E-05,1.03E-02,2.35E-01,1.84E-02,4.19E-01,
57,64,OMP,0.001346,4.70E-05,9.51E-03,2.47E-01,1.67E-02,4.33E-01,
58,64,OMP,0.0012426,5.28E-05,1.03E-02,2.20E-01,1.78E-02,3.79E-01,
59,64,OMP,0.001059,5.22E-05,1.21E-02,2.22E-01,2.05E-02,3.77E-01,
60,64,OMP,0.0012294,5.40E-05,1.04E-02,2.15E-01,1.74E-02,3.58E-01,
61,64,OMP,0.0010906,4.96E-05,1.17E-02,2.34E-01,1.92E-02,3.83E-01,
62,64,OMP,0.001076,4.48E-05,1.19E-02,2.59E-01,1.92E-02,4.18E-01,
63,64,OMP,0.001226,4.42E-05,1.04E-02,2.62E-01,1.66E-02,4.17E-01,
64,64,OMP,0.00114,5.54E-05,1.12E-02,2.09E-01,1.75E-02,3.27E-01,
65,64,OMP,0.0013878,5.18E-05,9.22E-03,2.24E-01,1.42E-02,3.45E-01,
66,64,OMP,0.0013936,5.36E-05,9.18E-03,2.16E-01,1.39E-02,3.28E-01,
67,64,OMP,0.0011832,5.58E-05,1.08E-02,2.08E-01,1.61E-02,3.10E-01,
68,64,OMP,0.0012918,5.12E-05,9.91E-03,2.27E-01,1.46E-02,3.33E-01,
69,64,OMP,0.0012562,6.62E-05,1.02E-02,1.75E-01,1.48E-02,2.54E-01,
70,64,OMP,0.0013068,6.56E-05,9.79E-03,1.77E-01,1.40E-02,2.53E-01,
71,64,OMP,0.0014084,5.28E-05,9.09E-03,2.20E-01,1.28E-02,3.09E-01,
72,64,OMP,0.001314,5.32E-05,9.74E-03,2.18E-01,1.35E-02,3.03E-01,
73,64,OMP,0.001334,5.40E-05,9.60E-03,2.15E-01,1.31E-02,2.94E-01,
74,64,OMP,0.0014018,6.88E-05,9.13E-03,1.69E-01,1.23E-02,2.28E-01,
75,64,OMP,0.0015752,5.66E-05,8.13E-03,2.05E-01,1.08E-02,2.73E-01,
76,64,OMP,0.0014954,5.66E-05,8.56E-03,2.05E-01,1.13E-02,2.70E-01,
77,64,OMP,0.001411,6.20E-05,9.07E-03,1.87E-01,1.18E-02,2.43E-01,
78,64,OMP,0.0015962,6.06E-05,8.02E-03,1.91E-01,1.03E-02,2.45E-01,
79,64,OMP,0.0014088,6.90E-05,9.09E-03,1.68E-01,1.15E-02,2.13E-01,
80,64,OMP,0.001615,5.38E-05,7.93E-03,2.16E-01,9.91E-03,2.70E-01,
81,64,OMP,0.0015994,5.30E-05,8.00E-03,2.19E-01,9.88E-03,2.70E-01,
82,64,OMP,0.0016718,5.32E-05,7.66E-03,2.18E-01,9.34E-03,2.66E-01,
83,64,OMP,0.0016496,6.66E-05,7.76E-03,1.74E-01,9.35E-03,2.10E-01,
84,64,OMP,0.0015818,6.48E-05,8.09E-03,1.79E-01,9.63E-03,2.13E-01,
85,64,OMP,0.0032536,7.18E-05,3.93E-03,1.62E-01,4.63E-03,1.90E-01,
86,64,OMP,0.001888,6.66E-05,6.78E-03,1.74E-01,7.88E-03,2.03E-01,
87,64,OMP,0.0017276,5.64E-05,7.41E-03,2.06E-01,8.52E-03,2.36E-01,
88,64,OMP,0.0020828,9.86E-05,6.15E-03,1.18E-01,6.98E-03,1.34E-01,
89,64,OMP,0.0018892,6.76E-05,6.78E-03,1.72E-01,7.61E-03,1.93E-01,
90,64,OMP,0.0048722,0.001024,2.63E-03,1.13E-02,2.92E-03,1.26E-02,
91,64,OMP,0.0049284,8.04E-05,2.60E-03,1.44E-01,2.85E-03,1.59E-01,
92,64,OMP,0.0080646,0.0012166,1.59E-03,9.53E-03,1.73E-03,1.04E-02,
93,64,OMP,0.009454,0.0038346,1.35E-03,3.03E-03,1.46E-03,3.25E-03,
94,64,OMP,0.0065942,0.0038308,1.94E-03,3.03E-03,2.06E-03,3.22E-03,
95,64,OMP,0.0091068,0.0067034,1.41E-03,1.73E-03,1.48E-03,1.82E-03,
96,64,OMP,0.0115084,0.0060474,1.11E-03,1.92E-03,1.16E-03,2.00E-03,
1,128,SEQ,4.68E-05,5.58E-05,0,0,0,0,
1,128,OMP,7.58E-05,6.00E-05,6.17E-01,9.30E-01,6.17E+01,9.30E+01,
2,128,OMP,0.0001528,9.40E-05,3.06E-01,5.94E-01,1.53E+01,2.97E+01,
3,128,OMP,0.0001716,9.28E-05,2.73E-01,6.01E-01,9.09E+00,2.00E+01,
4,128,OMP,0.0002094,9.54E-05,2.23E-01,5.85E-01,5.59E+00,1.46E+01,
5,128,OMP,0.0002096,0.0001094,2.23E-01,5.10E-01,4.47E+00,1.02E+01,
6,128,OMP,0.0002104,9.90E-05,2.22E-01,5.64E-01,3.71E+00,9.39E+00,
7,128,OMP,0.000311,9.50E-05,1.50E-01,5.87E-01,2.15E+00,8.39E+00,
8,128,OMP,0.0002312,9.54E-05,2.02E-01,5.85E-01,2.53E+00,7.31E+00,
9,128,OMP,0.0002634,0.0001006,1.78E-01,5.55E-01,1.97E+00,6.16E+00,
10,128,OMP,0.000313,9.62E-05,1.50E-01,5.80E-01,1.50E+00,5.80E+00,
11,128,OMP,0.000269,9.82E-05,1.74E-01,5.68E-01,1.58E+00,5.17E+00,
12,128,OMP,0.0003328,0.0001006,1.41E-01,5.55E-01,1.17E+00,4.62E+00,
13,128,OMP,0.0002778,9.80E-05,1.68E-01,5.69E-01,1.30E+00,4.38E+00,
14,128,OMP,0.0003156,9.86E-05,1.48E-01,5.66E-01,1.06E+00,4.04E+00,
15,128,OMP,0.0003364,9.82E-05,1.39E-01,5.68E-01,9.27E-01,3.79E+00,
16,128,OMP,0.0005054,9.50E-05,9.26E-02,5.87E-01,5.79E-01,3.67E+00,
17,128,OMP,0.0003398,0.0001106,1.38E-01,5.05E-01,8.10E-01,2.97E+00,
18,128,OMP,0.0003846,0.0001066,1.22E-01,5.23E-01,6.76E-01,2.91E+00,
19,128,OMP,0.000374,0.0001022,1.25E-01,5.46E-01,6.59E-01,2.87E+00,
20,128,OMP,0.000375,0.0001006,1.25E-01,5.55E-01,6.24E-01,2.77E+00,
21,128,OMP,0.0004296,0.0001022,1.09E-01,5.46E-01,5.19E-01,2.60E+00,
22,128,OMP,0.0005268,0.000101,8.88E-02,5.52E-01,4.04E-01,2.51E+00,
23,128,OMP,0.0004566,0.0001086,1.02E-01,5.14E-01,4.46E-01,2.23E+00,
24,128,OMP,0.0005196,0.0001136,9.01E-02,4.91E-01,3.75E-01,2.05E+00,
25,128,OMP,0.0004912,0.0001292,9.53E-02,4.32E-01,3.81E-01,1.73E+00,
26,128,OMP,0.0006386,0.0001052,7.33E-02,5.30E-01,2.82E-01,2.04E+00,
27,128,OMP,0.0005216,0.0001058,8.97E-02,5.27E-01,3.32E-01,1.95E+00,
28,128,OMP,0.0006182,0.0001064,7.57E-02,5.24E-01,2.70E-01,1.87E+00,
29,128,OMP,0.0005658,0.0001032,8.27E-02,5.41E-01,2.85E-01,1.86E+00,
30,128,OMP,0.0006834,0.0001024,6.85E-02,5.45E-01,2.28E-01,1.82E+00,
31,128,OMP,0.0005884,0.0001082,7.95E-02,5.16E-01,2.57E-01,1.66E+00,
32,128,OMP,0.0007366,9.70E-05,6.35E-02,5.75E-01,1.99E-01,1.80E+00,
33,128,OMP,0.0006686,0.0001026,7.00E-02,5.44E-01,2.12E-01,1.65E+00,
34,128,OMP,0.0006338,0.0001068,7.38E-02,5.22E-01,2.17E-01,1.54E+00,
35,128,OMP,0.000646,0.0001078,7.24E-02,5.18E-01,2.07E-01,1.48E+00,
36,128,OMP,0.0008292,9.48E-05,5.64E-02,5.89E-01,1.57E-01,1.64E+00,
37,128,OMP,0.0007912,9.64E-05,5.92E-02,5.79E-01,1.60E-01,1.56E+00,
38,128,OMP,0.000808,0.0001068,5.79E-02,5.22E-01,1.52E-01,1.37E+00,
39,128,OMP,0.0008484,9.78E-05,5.52E-02,5.71E-01,1.41E-01,1.46E+00,
40,128,OMP,0.0008504,0.0001036,5.50E-02,5.39E-01,1.38E-01,1.35E+00,
41,128,OMP,0.0008386,9.58E-05,5.58E-02,5.82E-01,1.36E-01,1.42E+00,
42,128,OMP,0.0007632,0.0001098,6.13E-02,5.08E-01,1.46E-01,1.21E+00,
43,128,OMP,0.0008526,9.82E-05,5.49E-02,5.68E-01,1.28E-01,1.32E+00,
44,128,OMP,0.0008336,0.000105,5.61E-02,5.31E-01,1.28E-01,1.21E+00,
45,128,OMP,0.0008328,9.24E-05,5.62E-02,6.04E-01,1.25E-01,1.34E+00,
46,128,OMP,0.0007886,9.30E-05,5.93E-02,6.00E-01,1.29E-01,1.30E+00,
47,128,OMP,0.0009174,0.0001,5.10E-02,5.58E-01,1.09E-01,1.19E+00,
48,128,OMP,0.0008466,9.64E-05,5.53E-02,5.79E-01,1.15E-01,1.21E+00,
49,128,OMP,0.0008704,0.000105,5.38E-02,5.31E-01,1.10E-01,1.08E+00,
50,128,OMP,0.000922,8.72E-05,5.08E-02,6.40E-01,1.02E-01,1.28E+00,
51,128,OMP,0.0009316,9.54E-05,5.02E-02,5.85E-01,9.85E-02,1.15E+00,
52,128,OMP,0.0010008,0.0001044,4.68E-02,5.34E-01,8.99E-02,1.03E+00,
53,128,OMP,0.0009934,9.16E-05,4.71E-02,6.09E-01,8.89E-02,1.15E+00,
54,128,OMP,0.0010286,0.0001012,4.55E-02,5.51E-01,8.43E-02,1.02E+00,
55,128,OMP,0.0010174,8.04E-05,4.60E-02,6.94E-01,8.36E-02,1.26E+00,
56,128,OMP,0.000979,0.0001022,4.78E-02,5.46E-01,8.54E-02,9.75E-01,
57,128,OMP,0.0010806,8.34E-05,4.33E-02,6.69E-01,7.60E-02,1.17E+00,
58,128,OMP,0.0011014,9.96E-05,4.25E-02,5.60E-01,7.33E-02,9.66E-01,
59,128,OMP,0.0010706,8.72E-05,4.37E-02,6.40E-01,7.41E-02,1.08E+00,
60,128,OMP,0.0011234,0.000101,4.17E-02,5.52E-01,6.94E-02,9.21E-01,
61,128,OMP,0.0010946,8.44E-05,4.28E-02,6.61E-01,7.01E-02,1.08E+00,
62,128,OMP,0.001168,9.08E-05,4.01E-02,6.15E-01,6.46E-02,9.91E-01,
63,128,OMP,0.001128,9.90E-05,4.15E-02,5.64E-01,6.59E-02,8.95E-01,
64,128,OMP,0.001122,9.38E-05,4.17E-02,5.95E-01,6.52E-02,9.30E-01,
65,128,OMP,0.0012006,9.54E-05,3.90E-02,5.85E-01,6.00E-02,9.00E-01,
66,128,OMP,0.0011442,8.84E-05,4.09E-02,6.31E-01,6.20E-02,9.56E-01,
67,128,OMP,0.0011996,8.62E-05,3.90E-02,6.47E-01,5.82E-02,9.66E-01,
68,128,OMP,0.0012394,8.56E-05,3.78E-02,6.52E-01,5.55E-02,9.59E-01,
69,128,OMP,0.0012648,9.52E-05,3.70E-02,5.86E-01,5.36E-02,8.49E-01,
70,128,OMP,0.0013762,9.72E-05,3.40E-02,5.74E-01,4.86E-02,8.20E-01,
