Threads/Proc,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
16,16,MPI DT,0.0003742,0.00033000000000000005
17,16,MPI DT,0.00028859999999999997,0.0003778
18,16,MPI DT,0.0003976,0.0003402
19,16,MPI DT,0.00035299999999999996,0.0004436
20,16,MPI DT,0.0003246,0.00044980000000000004
21,16,MPI DT,0.0003058,0.0005001999999999999
22,16,MPI DT,0.0003816,0.0017013999999999998
23,16,MPI DT,0.0004262,0.0005226
24,16,MPI DT,0.0007016,0.000387
25,16,MPI DT,0.000539,0.0005006
26,16,MPI DT,0.0007146,0.0008271999999999999
27,16,MPI DT,0.0004986,0.0005346
28,16,MPI DT,0.00020219999999999998,0.0006110000000000001
29,16,MPI DT,0.0002974,0.0005626000000000001
30,16,MPI DT,0.000455,0.0005551999999999999
31,16,MPI DT,0.0007602,0.0005424
32,16,MPI DT,0.000557,0.00047840000000000003
33,16,MPI DT,0.0006606,0.0009611999999999999
34,16,MPI DT,0.0001912,0.0005855999999999999
35,16,MPI DT,0.0004696,0.0003394
36,16,MPI DT,0.0005448,0.0005688
37,16,MPI DT,0.00040940000000000003,0.0006008000000000001
38,16,MPI DT,0.0005494,0.0015908000000000003
39,16,MPI DT,0.00030960000000000004,0.0005444
40,16,MPI DT,0.0005389999999999999,0.0008196
41,16,MPI DT,0.0002522,0.000572
42,16,MPI DT,0.0002814,0.0007928000000000001
43,16,MPI DT,0.0003476,0.0006858000000000001
44,16,MPI DT,0.0003928,0.0006604
45,16,MPI DT,0.0004974,0.0006087999999999999
46,16,MPI DT,0.0003104,0.0009781999999999998
47,16,MPI DT,0.000454,0.0006022
48,16,MPI DT,0.0001798,0.0006656000000000001
49,16,MPI DT,0.0003112,0.000647
50,16,MPI DT,0.0005702000000000001,0.0007984
51,16,MPI DT,0.0006952,0.0009257999999999998
52,16,MPI DT,0.00047840000000000003,0.0006306
53,16,MPI DT,0.0004898,0.0006577999999999999
54,16,MPI DT,0.0004156,0.0006254
55,16,MPI DT,0.00056,0.0006588
56,16,MPI DT,0.0007918,0.0006546
57,16,MPI DT,0.0010945999999999998,0.0005772
58,16,MPI DT,0.0007984,0.0006801999999999999
59,16,MPI DT,0.0006506000000000001,0.0007636
60,16,MPI DT,0.0006806000000000001,0.0006646
61,16,MPI DT,0.0004038,0.0006458
62,16,MPI DT,0.00045620000000000003,0.0007514
63,16,MPI DT,0.00046719999999999997,0.0007773999999999999
64,16,MPI DT,0.0005324,0.0006612
65,16,MPI DT,0.0008421999999999999,0.0017288000000000002
66,16,MPI DT,0.0009464,0.0006996
67,16,MPI DT,0.0009729999999999999,0.0008112
68,16,MPI DT,0.0007665999999999999,0.0006617999999999999
69,16,MPI DT,0.0011918,0.000559
70,16,MPI DT,0.0006586,0.0009509999999999999
71,16,MPI DT,0.0008871999999999998,0.0007136
72,16,MPI DT,0.0009548000000000001,0.0007236
73,16,MPI DT,0.0007532000000000001,0.0007358
74,16,MPI DT,0.0008566000000000001,0.0007886000000000001
75,16,MPI DT,0.0027339999999999995,0.0008628
76,16,MPI DT,0.0006864,0.0008318
77,16,MPI DT,0.0057966,0.005846400000000001
78,16,MPI DT,0.0009429999999999999,0.0008150000000000001
79,16,MPI DT,0.0008836,0.0007616
80,16,MPI DT,0.0030728,0.0031913999999999996
81,16,MPI DT,0.0011765999999999999,0.000758
82,16,MPI DT,0.0007467999999999999,0.0007554
83,16,MPI DT,0.0029506000000000003,0.0031106000000000003
84,16,MPI DT,0.0007614,0.0016621999999999997
85,16,MPI DT,0.0032232,0.0064102
86,16,MPI DT,0.0012014,0.000802
87,16,MPI DT,0.0054704,0.0056896
88,16,MPI DT,0.0033291999999999996,0.0024438000000000003
89,16,MPI DT,0.0030902000000000004,0.0033418
90,16,MPI DT,0.0028958,0.0033248
91,16,MPI DT,0.0076289999999999995,0.006011399999999999
92,16,MPI DT,0.005798,0.0058097999999999995
93,16,MPI DT,0.0008642000000000001,0.0009815999999999998
94,16,MPI DT,0.015560599999999999,0.007877799999999999
95,16,MPI DT,0.0088418,0.006678000000000001
96,16,MPI DT,0.0153068,0.0109908
1,32,SEQ,3.2000000000000007e-06,2.2e-06
1,32,OMP,3.2000000000000005e-05,1.1e-05
2,32,OMP,0.0001262,1.76e-05
3,32,OMP,0.0001856,1.8599999999999998e-05
4,32,OMP,0.00017980000000000003,2.22e-05
5,32,OMP,0.00021980000000000003,2.02e-05
6,32,OMP,0.00019779999999999998,2.3999999999999997e-05
7,32,OMP,0.00027180000000000005,2.44e-05
8,32,OMP,0.00031340000000000003,2.6199999999999996e-05
9,32,OMP,0.00034599999999999995,2.48e-05
10,32,OMP,0.0003226,2.52e-05
11,32,OMP,0.000362,2.6000000000000002e-05
12,32,OMP,0.00038239999999999997,2.5600000000000006e-05
13,32,OMP,0.0005358,2.64e-05
14,32,OMP,0.0004086,3.22e-05
15,32,OMP,0.000428,2.7400000000000005e-05
16,32,OMP,0.0005629999999999999,3.26e-05
17,32,OMP,0.0005428000000000001,2.7800000000000005e-05
