Threads,Dim,Version,Sym,Trans
57,8,OMP,0.0010928,3.22e-05
58,8,OMP,0.0012192,3.18e-05
59,8,OMP,0.001156,3.3e-05
60,8,OMP,0.001102,3.9e-05
61,8,OMP,0.0011972,3.34e-05
62,8,OMP,0.0011952,3.4e-05
63,8,OMP,0.0012072,3.32e-05
64,8,OMP,0.0012384,3.82e-05
65,8,OMP,0.0012768,3.88e-05
66,8,OMP,0.0011422,3.34e-05
67,8,OMP,0.0013112,3.9e-05
68,8,OMP,0.0012042,3.98e-05
69,8,OMP,0.0011984,3.6e-05
70,8,OMP,0.0012236,3.88e-05
71,8,OMP,0.0013158,4.64e-05
72,8,OMP,0.0013158,4.02e-05
73,8,OMP,0.001362,4.02e-05
74,8,OMP,0.001294,4.34e-05
75,8,OMP,0.0014438,4.08e-05
76,8,OMP,0.0014348,3.56e-05
77,8,OMP,0.0015546,3.96e-05
78,8,OMP,0.001453,3.92e-05
79,8,OMP,0.0014006,4.56e-05
80,8,OMP,0.0014706,4.2e-05
81,8,OMP,0.0016376,4.12e-05
82,8,OMP,0.001454,4.5e-05
83,8,OMP,0.0016192,4.64e-05
84,8,OMP,0.0015448,4.68e-05
85,8,OMP,0.001657,4.28e-05
86,8,OMP,0.0032076,4.6e-05
87,8,OMP,0.002014,4.58e-05
88,8,OMP,0.002224,4.7e-05
89,8,OMP,0.0027008,5.6e-05
90,8,OMP,0.0022606,4.86e-05
91,8,OMP,0.0055932,5.68e-05
92,8,OMP,0.0057498,0.0019382
93,8,OMP,0.0083234,0.0019674
94,8,OMP,0.0067618,0.0024454
95,8,OMP,0.0086386,0.0057248
96,8,OMP,0.009572,0.0074612
1,16,SEQ,2.2e-06,1e-06
1,16,OMP,2.66e-05,4e-06
2,16,OMP,0.000192,8.4e-06
3,16,OMP,0.0001042,1e-05
4,16,OMP,0.0001336,1.04e-05
5,16,OMP,0.0001548,1.18e-05
6,16,OMP,0.0002058,1.24e-05
7,16,OMP,0.0001484,1.38e-05
8,16,OMP,0.0001772,1.2e-05
9,16,OMP,0.0002316,1.36e-05
10,16,OMP,0.0002638,1.18e-05
11,16,OMP,0.0002634,1.44e-05
12,16,OMP,0.0002334,1.12e-05
13,16,OMP,0.0004742,1.74e-05
14,16,OMP,0.00033,1.32e-05
15,16,OMP,0.0002914,1.34e-05
16,16,OMP,0.0003718,1.52e-05
17,16,OMP,0.0003532,1.48e-05
18,16,OMP,0.0003364,1.8e-05
19,16,OMP,0.0004042,1.42e-05
20,16,OMP,0.0005636,2.18e-05
21,16,OMP,0.0004218,1.74e-05
22,16,OMP,0.0005272,1.96e-05
23,16,OMP,0.000421,2.04e-05
24,16,OMP,0.000485,2.08e-05
25,16,OMP,0.0005322,1.94e-05
26,16,OMP,0.000492,1.96e-05
27,16,OMP,0.000719,1.92e-05
28,16,OMP,0.0004986,2.18e-05
29,16,OMP,0.0006052,2.42e-05
30,16,OMP,0.0005806,2.1e-05
31,16,OMP,0.000617,2.18e-05
32,16,OMP,0.0005768,2.52e-05
33,16,OMP,0.0006344,2.42e-05
34,16,OMP,0.0006576,2.46e-05
35,16,OMP,0.0006262,2.5e-05
36,16,OMP,0.0006972,2.66e-05
37,16,OMP,0.0007944,2.64e-05
38,16,OMP,0.0008576,2.68e-05
39,16,OMP,0.0007216,2.46e-05
40,16,OMP,0.0007752,2.54e-05
41,16,OMP,0.00097,2.8e-05
42,16,OMP,0.0007632,2.62e-05
43,16,OMP,0.0007676,2.92e-05
44,16,OMP,0.0009268,2.94e-05
45,16,OMP,0.0008836,3.24e-05
46,16,OMP,0.0008534,2.94e-05
47,16,OMP,0.0010824,2.94e-05
48,16,OMP,0.0010116,3.06e-05
49,16,OMP,0.0009592,2.92e-05
50,16,OMP,0.0008472,3.3e-05
51,16,OMP,0.0009158,3.24e-05
52,16,OMP,0.000912,3.06e-05
53,16,OMP,0.0009112,3.1e-05
54,16,OMP,0.0009272,3.56e-05
55,16,OMP,0.0009538,3.28e-05
56,16,OMP,0.001003,3.66e-05
57,16,OMP,0.00111,3.62e-05
58,16,OMP,0.00107,3.22e-05
59,16,OMP,0.001026,3.68e-05
60,16,OMP,0.0010712,3.94e-05
