Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
87,16,OMP,0.0021966,4.82E-05,1.00E-03,2.07E-02,1.15E-03,2.38E-02
88,16,OMP,0.0034196,4.52E-05,6.43E-04,2.21E-02,7.31E-04,2.51E-02
89,16,OMP,0.0018916,5.42E-05,1.16E-03,1.85E-02,1.31E-03,2.07E-02
90,16,OMP,0.0035164,7.86E-05,6.26E-04,1.27E-02,6.95E-04,1.41E-02
91,16,OMP,0.004575,5.10E-05,4.81E-04,1.96E-02,5.28E-04,2.15E-02
92,16,OMP,0.0057906,5.12E-05,3.80E-04,1.95E-02,4.13E-04,2.12E-02
93,16,OMP,0.006256,0.0047854,3.52E-04,2.09E-04,3.78E-04,2.25E-04
94,16,OMP,0.0065364,0.0010066,3.37E-04,9.93E-04,3.58E-04,1.06E-03
95,16,OMP,0.0083974,0.007598,2.62E-04,1.32E-04,2.76E-04,1.39E-04
96,16,OMP,0.009906,0.004807,2.22E-04,2.08E-04,2.31E-04,2.17E-04
1,32,SEQ,3.00E-06,2.00E-06,0,0,0,0
1,32,OMP,2.94E-05,7.60E-06,1.02E-01,2.63E-01,1.02E+01,2.63E+01
2,32,OMP,0.0001322,1.54E-05,2.27E-02,1.30E-01,1.13E+00,6.49E+00
3,32,OMP,0.0001258,1.42E-05,2.38E-02,1.41E-01,7.95E-01,4.69E+00
4,32,OMP,0.000148,1.54E-05,2.03E-02,1.30E-01,5.07E-01,3.25E+00
5,32,OMP,0.0001468,1.50E-05,2.04E-02,1.33E-01,4.09E-01,2.67E+00
6,32,OMP,0.0002458,1.90E-05,1.22E-02,1.05E-01,2.03E-01,1.75E+00
7,32,OMP,0.0001892,1.52E-05,1.59E-02,1.32E-01,2.27E-01,1.88E+00
8,32,OMP,0.0003132,2.00E-05,9.58E-03,1.00E-01,1.20E-01,1.25E+00
9,32,OMP,0.0002768,1.58E-05,1.08E-02,1.27E-01,1.20E-01,1.41E+00
10,32,OMP,0.0002554,1.64E-05,1.17E-02,1.22E-01,1.17E-01,1.22E+00
11,32,OMP,0.000253,1.66E-05,1.19E-02,1.20E-01,1.08E-01,1.10E+00
12,32,OMP,0.000233,1.72E-05,1.29E-02,1.16E-01,1.07E-01,9.69E-01
13,32,OMP,0.0002568,2.08E-05,1.17E-02,9.62E-02,8.99E-02,7.40E-01
14,32,OMP,0.0003054,1.66E-05,9.82E-03,1.20E-01,7.02E-02,8.61E-01
15,32,OMP,0.0002864,1.94E-05,1.05E-02,1.03E-01,6.98E-02,6.87E-01
16,32,OMP,0.0002922,2.18E-05,1.03E-02,9.17E-02,6.42E-02,5.73E-01
17,32,OMP,0.0003668,2.20E-05,8.18E-03,9.09E-02,4.81E-02,5.35E-01
18,32,OMP,0.0003672,2.26E-05,8.17E-03,8.85E-02,4.54E-02,4.92E-01
19,32,OMP,0.0003512,2.48E-05,8.54E-03,8.06E-02,4.50E-02,4.24E-01
20,32,OMP,0.0003714,2.36E-05,8.08E-03,8.47E-02,4.04E-02,4.24E-01
21,32,OMP,0.0004828,2.34E-05,6.21E-03,8.55E-02,2.96E-02,4.07E-01
22,32,OMP,0.0004256,2.34E-05,7.05E-03,8.55E-02,3.20E-02,3.89E-01
23,32,OMP,0.0004352,2.30E-05,6.89E-03,8.70E-02,3.00E-02,3.78E-01
24,32,OMP,0.0005172,2.68E-05,5.80E-03,7.46E-02,2.42E-02,3.11E-01
25,32,OMP,0.0004584,2.46E-05,6.54E-03,8.13E-02,2.62E-02,3.25E-01
26,32,OMP,0.0004842,2.18E-05,6.20E-03,9.17E-02,2.38E-02,3.53E-01
27,32,OMP,0.0005606,2.56E-05,5.35E-03,7.81E-02,1.98E-02,2.89E-01
28,32,OMP,0.0005154,2.30E-05,5.82E-03,8.70E-02,2.08E-02,3.11E-01
29,32,OMP,0.0005166,2.54E-05,5.81E-03,7.87E-02,2.00E-02,2.72E-01
30,32,OMP,0.0006108,2.56E-05,4.91E-03,7.81E-02,1.64E-02,2.60E-01
31,32,OMP,0.0005446,2.28E-05,5.51E-03,8.77E-02,1.78E-02,2.83E-01
32,32,OMP,0.0007464,2.50E-05,4.02E-03,8.00E-02,1.26E-02,2.50E-01
33,32,OMP,0.0005916,2.86E-05,5.07E-03,6.99E-02,1.54E-02,2.12E-01
34,32,OMP,0.0006694,3.08E-05,4.48E-03,6.49E-02,1.32E-02,1.91E-01
35,32,OMP,0.0007342,2.78E-05,4.09E-03,7.19E-02,1.17E-02,2.06E-01
36,32,OMP,0.000625,2.54E-05,4.80E-03,7.87E-02,1.33E-02,2.19E-01
37,32,OMP,0.0006374,3.26E-05,4.71E-03,6.13E-02,1.27E-02,1.66E-01
38,32,OMP,0.0007838,2.82E-05,3.83E-03,7.09E-02,1.01E-02,1.87E-01
39,32,OMP,0.000759,2.84E-05,3.95E-03,7.04E-02,1.01E-02,1.81E-01
40,32,OMP,0.0007722,3.10E-05,3.89E-03,6.45E-02,9.71E-03,1.61E-01
41,32,OMP,0.0006808,2.86E-05,4.41E-03,6.99E-02,1.07E-02,1.71E-01
42,32,OMP,0.0008578,3.16E-05,3.50E-03,6.33E-02,8.33E-03,1.51E-01
43,32,OMP,0.0007658,3.14E-05,3.92E-03,6.37E-02,9.11E-03,1.48E-01
44,32,OMP,0.0007586,3.16E-05,3.95E-03,6.33E-02,8.99E-03,1.44E-01
45,32,OMP,0.000767,3.44E-05,3.91E-03,5.81E-02,8.69E-03,1.29E-01
46,32,OMP,0.0008748,3.18E-05,3.43E-03,6.29E-02,7.46E-03,1.37E-01
47,32,OMP,0.0008468,3.30E-05,3.54E-03,6.06E-02,7.54E-03,1.29E-01
48,32,OMP,0.0008552,3.10E-05,3.51E-03,6.45E-02,7.31E-03,1.34E-01
49,32,OMP,0.000874,3.52E-05,3.43E-03,5.68E-02,7.01E-03,1.16E-01
50,32,OMP,0.000899,3.42E-05,3.34E-03,5.85E-02,6.67E-03,1.17E-01
51,32,OMP,0.0009032,3.94E-05,3.32E-03,5.08E-02,6.51E-03,9.95E-02
52,32,OMP,0.0008878,3.28E-05,3.38E-03,6.10E-02,6.50E-03,1.17E-01
53,32,OMP,0.0009696,4.38E-05,3.09E-03,4.57E-02,5.84E-03,8.62E-02
54,32,OMP,0.0010864,3.16E-05,2.76E-03,6.33E-02,5.11E-03,1.17E-01
55,32,OMP,0.0009762,3.50E-05,3.07E-03,5.71E-02,5.59E-03,1.04E-01
56,32,OMP,0.0010104,3.86E-05,2.97E-03,5.18E-02,5.30E-03,9.25E-02
57,32,OMP,0.0010142,3.78E-05,2.96E-03,5.29E-02,5.19E-03,9.28E-02
58,32,OMP,0.0010346,3.58E-05,2.90E-03,5.59E-02,5.00E-03,9.63E-02
59,32,OMP,0.00102,3.70E-05,2.94E-03,5.41E-02,4.99E-03,9.16E-02
60,32,OMP,0.0010936,3.70E-05,2.74E-03,5.41E-02,4.57E-03,9.01E-02
61,32,OMP,0.0010792,4.10E-05,2.78E-03,4.88E-02,4.56E-03,8.00E-02
62,32,OMP,0.0010952,3.94E-05,2.74E-03,5.08E-02,4.42E-03,8.19E-02
63,32,OMP,0.0010828,3.82E-05,2.77E-03,5.24E-02,4.40E-03,8.31E-02
64,32,OMP,0.001142,4.06E-05,2.63E-03,4.93E-02,4.10E-03,7.70E-02
65,32,OMP,0.0011288,4.06E-05,2.66E-03,4.93E-02,4.09E-03,7.58E-02
66,32,OMP,0.001187,4.06E-05,2.53E-03,4.93E-02,3.83E-03,7.46E-02
67,32,OMP,0.0011624,4.38E-05,2.58E-03,4.57E-02,3.85E-03,6.82E-02
68,32,OMP,0.0011598,3.60E-05,2.59E-03,5.56E-02,3.80E-03,8.17E-02
69,32,OMP,0.0012028,3.96E-05,2.49E-03,5.05E-02,3.61E-03,7.32E-02
70,32,OMP,0.0012378,3.82E-05,2.42E-03,5.24E-02,3.46E-03,7.48E-02
71,32,OMP,0.0012722,3.84E-05,2.36E-03,5.21E-02,3.32E-03,7.34E-02
72,32,OMP,0.0013332,4.38E-05,2.25E-03,4.57E-02,3.13E-03,6.34E-02
73,32,OMP,0.0013878,4.44E-05,2.16E-03,4.50E-02,2.96E-03,6.17E-02
74,32,OMP,0.001339,5.06E-05,2.24E-03,3.95E-02,3.03E-03,5.34E-02
75,32,OMP,0.0013706,4.58E-05,2.19E-03,4.37E-02,2.92E-03,5.82E-02
76,32,OMP,0.0013918,4.06E-05,2.16E-03,4.93E-02,2.84E-03,6.48E-02
77,32,OMP,0.001428,4.08E-05,2.10E-03,4.90E-02,2.73E-03,6.37E-02
78,32,OMP,0.0015062,4.30E-05,1.99E-03,4.65E-02,2.55E-03,5.96E-02
79,32,OMP,0.001446,4.40E-05,2.07E-03,4.55E-02,2.63E-03,5.75E-02
80,32,OMP,0.0014502,4.32E-05,2.07E-03,4.63E-02,2.59E-03,5.79E-02
81,32,OMP,0.0016536,4.86E-05,1.81E-03,4.12E-02,2.24E-03,5.08E-02
82,32,OMP,0.0015662,4.64E-05,1.92E-03,4.31E-02,2.34E-03,5.26E-02
83,32,OMP,0.0015282,5.04E-05,1.96E-03,3.97E-02,2.37E-03,4.78E-02
84,32,OMP,0.0015378,5.12E-05,1.95E-03,3.91E-02,2.32E-03,4.65E-02
85,32,OMP,0.0016802,4.98E-05,1.79E-03,4.02E-02,2.10E-03,4.72E-02
86,32,OMP,0.0041306,5.92E-05,7.26E-04,3.38E-02,8.45E-04,3.93E-02
87,32,OMP,0.0018706,5.12E-05,1.60E-03,3.91E-02,1.84E-03,4.49E-02
88,32,OMP,0.0032988,0.0019278,9.09E-04,1.04E-03,1.03E-03,1.18E-03
89,32,OMP,0.0055302,4.86E-05,5.42E-04,4.12E-02,6.10E-04,4.62E-02
90,32,OMP,0.0056628,6.82E-05,5.30E-04,2.93E-02,5.89E-04,3.26E-02
91,32,OMP,0.0076552,0.0009992,3.92E-04,2.00E-03,4.31E-04,2.20E-03
92,32,OMP,0.007259,4.86E-05,4.13E-04,4.12E-02,4.49E-04,4.47E-02
93,32,OMP,0.0085682,0.0047192,3.50E-04,4.24E-04,3.76E-04,4.56E-04
94,32,OMP,0.0078814,0.0056844,3.81E-04,3.52E-04,4.05E-04,3.74E-04
95,32,OMP,0.0108696,0.0057332,2.76E-04,3.49E-04,2.91E-04,3.67E-04
96,32,OMP,0.0097736,0.009478,3.07E-04,2.11E-04,3.20E-04,2.20E-04
1,64,SEQ,1.18E-05,1.12E-05,0,0,0,0
1,64,OMP,2.72E-05,1.38E-05,4.34E-01,8.12E-01,4.34E+01,8.12E+01
2,64,OMP,9.52E-05,1.92E-05,1.24E-01,5.83E-01,6.20E+00,2.92E+01
3,64,OMP,9.42E-05,2.40E-05,1.25E-01,4.67E-01,4.18E+00,1.56E+01
4,64,OMP,0.0001572,3.24E-05,7.51E-02,3.46E-01,1.88E+00,8.64E+00
5,64,OMP,0.0001234,3.82E-05,9.56E-02,2.93E-01,1.91E+00,5.86E+00
6,64,OMP,0.0001638,2.42E-05,7.20E-02,4.63E-01,1.20E+00,7.71E+00
7,64,OMP,0.0001652,2.60E-05,7.14E-02,4.31E-01,1.02E+00,6.15E+00
8,64,OMP,0.0001916,3.12E-05,6.16E-02,3.59E-01,7.70E-01,4.49E+00
9,64,OMP,0.0002232,2.52E-05,5.29E-02,4.44E-01,5.87E-01,4.94E+00
10,64,OMP,0.0003202,3.34E-05,3.69E-02,3.35E-01,3.69E-01,3.35E+00
11,64,OMP,0.0002508,3.26E-05,4.70E-02,3.44E-01,4.28E-01,3.12E+00
12,64,OMP,0.0002516,2.76E-05,4.69E-02,4.06E-01,3.91E-01,3.38E+00
13,64,OMP,0.0002882,3.54E-05,4.09E-02,3.16E-01,3.15E-01,2.43E+00
14,64,OMP,0.000307,3.50E-05,3.84E-02,3.20E-01,2.75E-01,2.29E+00
15,64,OMP,0.0003286,3.58E-05,3.59E-02,3.13E-01,2.39E-01,2.09E+00
16,64,OMP,0.0002898,4.24E-05,4.07E-02,2.64E-01,2.54E-01,1.65E+00
17,64,OMP,0.0003454,3.10E-05,3.42E-02,3.61E-01,2.01E-01,2.13E+00
18,64,OMP,0.0004642,3.22E-05,2.54E-02,3.48E-01,1.41E-01,1.93E+00
19,64,OMP,0.000436,3.08E-05,2.71E-02,3.64E-01,1.42E-01,1.91E+00
20,64,OMP,0.0003558,4.74E-05,3.32E-02,2.36E-01,1.66E-01,1.18E+00
21,64,OMP,0.0003876,4.22E-05,3.04E-02,2.65E-01,1.45E-01,1.26E+00
22,64,OMP,0.000476,4.36E-05,2.48E-02,2.57E-01,1.13E-01,1.17E+00
23,64,OMP,0.0004182,3.28E-05,2.82E-02,3.41E-01,1.23E-01,1.48E+00
24,64,OMP,0.0004908,3.80E-05,2.40E-02,2.95E-01,1.00E-01,1.23E+00
25,64,OMP,0.000482,3.86E-05,2.45E-02,2.90E-01,9.79E-02,1.16E+00
26,64,OMP,0.000491,3.64E-05,2.40E-02,3.08E-01,9.24E-02,1.18E+00
27,64,OMP,0.0005418,3.12E-05,2.18E-02,3.59E-01,8.07E-02,1.33E+00
28,64,OMP,0.0004902,4.32E-05,2.41E-02,2.59E-01,8.60E-02,9.26E-01
29,64,OMP,0.0005168,4.44E-05,2.28E-02,2.52E-01,7.87E-02,8.70E-01
30,64,OMP,0.000539,3.56E-05,2.19E-02,3.15E-01,7.30E-02,1.05E+00
31,64,OMP,0.0005986,4.82E-05,1.97E-02,2.32E-01,6.36E-02,7.50E-01
32,64,OMP,0.0005896,4.50E-05,2.00E-02,2.49E-01,6.25E-02,7.78E-01
33,64,OMP,0.0008154,4.80E-05,1.45E-02,2.33E-01,4.39E-02,7.07E-01
34,64,OMP,0.0007326,4.48E-05,1.61E-02,2.50E-01,4.74E-02,7.35E-01
35,64,OMP,0.0007242,4.64E-05,1.63E-02,2.41E-01,4.66E-02,6.90E-01
36,64,OMP,0.0006696,3.94E-05,1.76E-02,2.84E-01,4.90E-02,7.90E-01
37,64,OMP,0.0006518,4.34E-05,1.81E-02,2.58E-01,4.89E-02,6.97E-01
38,64,OMP,0.0006626,4.18E-05,1.78E-02,2.68E-01,4.69E-02,7.05E-01
39,64,OMP,0.000772,5.04E-05,1.53E-02,2.22E-01,3.92E-02,5.70E-01
40,64,OMP,0.0008146,4.30E-05,1.45E-02,2.60E-01,3.62E-02,6.51E-01
41,64,OMP,0.000833,4.80E-05,1.42E-02,2.33E-01,3.46E-02,5.69E-01
42,64,OMP,0.0007488,4.48E-05,1.58E-02,2.50E-01,3.75E-02,5.95E-01
43,64,OMP,0.0007792,4.36E-05,1.51E-02,2.57E-01,3.52E-02,5.97E-01
44,64,OMP,0.0007922,3.84E-05,1.49E-02,2.92E-01,3.39E-02,6.63E-01
45,64,OMP,0.0007974,4.66E-05,1.48E-02,2.40E-01,3.29E-02,5.34E-01
46,64,OMP,0.0008194,4.82E-05,1.44E-02,2.32E-01,3.13E-02,5.05E-01
47,64,OMP,0.0008196,4.14E-05,1.44E-02,2.71E-01,3.06E-02,5.76E-01
48,64,OMP,0.000814,5.26E-05,1.45E-02,2.13E-01,3.02E-02,4.44E-01
49,64,OMP,0.0008252,4.68E-05,1.43E-02,2.39E-01,2.92E-02,4.88E-01
50,64,OMP,0.0009256,4.66E-05,1.27E-02,2.40E-01,2.55E-02,4.81E-01
51,64,OMP,0.0009618,5.26E-05,1.23E-02,2.13E-01,2.41E-02,4.18E-01
52,64,OMP,0.0009058,4.76E-05,1.30E-02,2.35E-01,2.51E-02,4.52E-01
53,64,OMP,0.0009506,4.28E-05,1.24E-02,2.62E-01,2.34E-02,4.94E-01
54,64,OMP,0.0009178,4.50E-05,1.29E-02,2.49E-01,2.38E-02,4.61E-01
55,64,OMP,0.0009928,6.30E-05,1.19E-02,1.78E-01,2.16E-02,3.23E-01
56,64,OMP,0.0009704,4.56E-05,1.22E-02,2.46E-01,2.17E-02,4.39E-01
57,64,OMP,0.001035,4.60E-05,1.14E-02,2.43E-01,2.00E-02,4.27E-01
58,64,OMP,0.0009974,4.82E-05,1.18E-02,2.32E-01,2.04E-02,4.01E-01
59,64,OMP,0.001052,5.28E-05,1.12E-02,2.12E-01,1.90E-02,3.60E-01
60,64,OMP,0.0010724,4.78E-05,1.10E-02,2.34E-01,1.83E-02,3.91E-01
61,64,OMP,0.0011588,4.52E-05,1.02E-02,2.48E-01,1.67E-02,4.06E-01
62,64,OMP,0.0010618,4.96E-05,1.11E-02,2.26E-01,1.79E-02,3.64E-01
63,64,OMP,0.0011468,4.90E-05,1.03E-02,2.29E-01,1.63E-02,3.63E-01
64,64,OMP,0.0011274,4.54E-05,1.05E-02,2.47E-01,1.64E-02,3.85E-01
65,64,OMP,0.0012518,4.54E-05,9.43E-03,2.47E-01,1.45E-02,3.80E-01
66,64,OMP,0.0011646,4.62E-05,1.01E-02,2.42E-01,1.54E-02,3.67E-01
67,64,OMP,0.0011936,5.88E-05,9.89E-03,1.90E-01,1.48E-02,2.84E-01
68,64,OMP,0.0012064,5.38E-05,9.78E-03,2.08E-01,1.44E-02,3.06E-01
69,64,OMP,0.0012182,4.70E-05,9.69E-03,2.38E-01,1.40E-02,3.45E-01
70,64,OMP,0.0012176,5.16E-05,9.69E-03,2.17E-01,1.38E-02,3.10E-01
71,64,OMP,0.001416,4.60E-05,8.33E-03,2.43E-01,1.17E-02,3.43E-01
72,64,OMP,0.0012338,6.02E-05,9.56E-03,1.86E-01,1.33E-02,2.58E-01
73,64,OMP,0.0015942,5.04E-05,7.40E-03,2.22E-01,1.01E-02,3.04E-01
74,64,OMP,0.0013384,5.22E-05,8.82E-03,2.15E-01,1.19E-02,2.90E-01
75,64,OMP,0.001341,4.66E-05,8.80E-03,2.40E-01,1.17E-02,3.20E-01
76,64,OMP,0.0013872,5.24E-05,8.51E-03,2.14E-01,1.12E-02,2.81E-01
77,64,OMP,0.0013986,4.90E-05,8.44E-03,2.29E-01,1.10E-02,2.97E-01
78,64,OMP,0.0014752,5.72E-05,8.00E-03,1.96E-01,1.03E-02,2.51E-01
79,64,OMP,0.0014242,6.26E-05,8.29E-03,1.79E-01,1.05E-02,2.26E-01
80,64,OMP,0.0014376,5.84E-05,8.21E-03,1.92E-01,1.03E-02,2.40E-01
81,64,OMP,0.0014886,5.32E-05,7.93E-03,2.11E-01,9.79E-03,2.60E-01
82,64,OMP,0.0014892,5.98E-05,7.92E-03,1.87E-01,9.66E-03,2.28E-01
83,64,OMP,0.001463,5.50E-05,8.07E-03,2.04E-01,9.72E-03,2.45E-01
84,64,OMP,0.0017066,5.96E-05,6.91E-03,1.88E-01,8.23E-03,2.24E-01
85,64,OMP,0.002112,5.38E-05,5.59E-03,2.08E-01,6.57E-03,2.45E-01
86,64,OMP,0.001733,6.02E-05,6.81E-03,1.86E-01,7.92E-03,2.16E-01
87,64,OMP,0.0019628,5.72E-05,6.01E-03,1.96E-01,6.91E-03,2.25E-01
88,64,OMP,0.0023646,5.60E-05,4.99E-03,2.00E-01,5.67E-03,2.27E-01
89,64,OMP,0.0024142,5.78E-05,4.89E-03,1.94E-01,5.49E-03,2.18E-01
90,64,OMP,0.003973,5.60E-05,2.97E-03,2.00E-01,3.30E-03,2.22E-01
91,64,OMP,0.0074792,0.0038362,1.58E-03,2.92E-03,1.73E-03,3.21E-03
92,64,OMP,0.0041798,5.78E-05,2.82E-03,1.94E-01,3.07E-03,2.11E-01
93,64,OMP,0.007737,0.0057232,1.53E-03,1.96E-03,1.64E-03,2.10E-03
94,64,OMP,0.0081882,0.002895,1.44E-03,3.87E-03,1.53E-03,4.12E-03
95,64,OMP,0.0100502,0.0076138,1.17E-03,1.47E-03,1.24E-03,1.55E-03
96,64,OMP,0.0116592,0.0085494,1.01E-03,1.31E-03,1.05E-03,1.36E-03
1,128,SEQ,4.54E-05,5.62E-05,0,0,0,0
1,128,OMP,6.64E-05,5.42E-05,6.84E-01,1.04E+00,6.84E+01,1.04E+02
2,128,OMP,0.0001262,8.54E-05,3.60E-01,6.58E-01,1.80E+01,3.29E+01
3,128,OMP,0.0001706,8.74E-05,2.66E-01,6.43E-01,8.87E+00,2.14E+01
4,128,OMP,0.0001832,8.80E-05,2.48E-01,6.39E-01,6.20E+00,1.60E+01
5,128,OMP,0.0002066,9.54E-05,2.20E-01,5.89E-01,4.39E+00,1.18E+01
6,128,OMP,0.0002438,8.42E-05,1.86E-01,6.67E-01,3.10E+00,1.11E+01
7,128,OMP,0.0002392,8.78E-05,1.90E-01,6.40E-01,2.71E+00,9.14E+00
8,128,OMP,0.00024,8.60E-05,1.89E-01,6.53E-01,2.36E+00,8.17E+00
9,128,OMP,0.0002418,8.54E-05,1.88E-01,6.58E-01,2.09E+00,7.31E+00
10,128,OMP,0.0002866,8.22E-05,1.58E-01,6.84E-01,1.58E+00,6.84E+00
11,128,OMP,0.0002538,8.36E-05,1.79E-01,6.72E-01,1.63E+00,6.11E+00
12,128,OMP,0.0003474,7.42E-05,1.31E-01,7.57E-01,1.09E+00,6.31E+00
13,128,OMP,0.0002938,8.34E-05,1.55E-01,6.74E-01,1.19E+00,5.18E+00
14,128,OMP,0.000326,9.08E-05,1.39E-01,6.19E-01,9.95E-01,4.42E+00
15,128,OMP,0.0003866,7.96E-05,1.17E-01,7.06E-01,7.83E-01,4.71E+00
16,128,OMP,0.0003264,7.64E-05,1.39E-01,7.36E-01,8.69E-01,4.60E+00
17,128,OMP,0.0003452,8.06E-05,1.32E-01,6.97E-01,7.74E-01,4.10E+00
18,128,OMP,0.0003786,9.06E-05,1.20E-01,6.20E-01,6.66E-01,3.45E+00
19,128,OMP,0.000355,7.54E-05,1.28E-01,7.45E-01,6.73E-01,3.92E+00
20,128,OMP,0.0003872,7.74E-05,1.17E-01,7.26E-01,5.86E-01,3.63E+00
21,128,OMP,0.000433,8.32E-05,1.05E-01,6.75E-01,4.99E-01,3.22E+00
22,128,OMP,0.0004272,7.30E-05,1.06E-01,7.70E-01,4.83E-01,3.50E+00
23,128,OMP,0.0005162,6.48E-05,8.80E-02,8.67E-01,3.82E-01,3.77E+00
24,128,OMP,0.0004454,7.60E-05,1.02E-01,7.39E-01,4.25E-01,3.08E+00
25,128,OMP,0.000471,7.82E-05,9.64E-02,7.19E-01,3.86E-01,2.87E+00
26,128,OMP,0.0005262,7.58E-05,8.63E-02,7.41E-01,3.32E-01,2.85E+00
27,128,OMP,0.0005868,8.14E-05,7.74E-02,6.90E-01,2.87E-01,2.56E+00
28,128,OMP,0.0005258,7.50E-05,8.63E-02,7.49E-01,3.08E-01,2.68E+00
29,128,OMP,0.000517,9.36E-05,8.78E-02,6.00E-01,3.03E-01,2.07E+00
30,128,OMP,0.0005744,7.56E-05,7.90E-02,7.43E-01,2.63E-01,2.48E+00
31,128,OMP,0.00061,7.58E-05,7.44E-02,7.41E-01,2.40E-01,2.39E+00
32,128,OMP,0.0006042,8.62E-05,7.51E-02,6.52E-01,2.35E-01,2.04E+00
33,128,OMP,0.000596,6.88E-05,7.62E-02,8.17E-01,2.31E-01,2.48E+00
34,128,OMP,0.0006406,6.24E-05,7.09E-02,9.01E-01,2.08E-01,2.65E+00
35,128,OMP,0.0006298,8.56E-05,7.21E-02,6.57E-01,2.06E-01,1.88E+00
36,128,OMP,0.0006694,8.60E-05,6.78E-02,6.53E-01,1.88E-01,1.82E+00
37,128,OMP,0.0007214,8.82E-05,6.29E-02,6.37E-01,1.70E-01,1.72E+00
38,128,OMP,0.0007498,7.54E-05,6.05E-02,7.45E-01,1.59E-01,1.96E+00
39,128,OMP,0.0007202,8.30E-05,6.30E-02,6.77E-01,1.62E-01,1.74E+00
40,128,OMP,0.0007746,7.30E-05,5.86E-02,7.70E-01,1.47E-01,1.92E+00
41,128,OMP,0.0007072,9.50E-05,6.42E-02,5.92E-01,1.57E-01,1.44E+00
42,128,OMP,0.0007632,7.28E-05,5.95E-02,7.72E-01,1.42E-01,1.84E+00
43,128,OMP,0.0007558,8.90E-05,6.01E-02,6.31E-01,1.40E-01,1.47E+00
44,128,OMP,0.0007616,9.64E-05,5.96E-02,5.83E-01,1.35E-01,1.32E+00
45,128,OMP,0.0007938,9.70E-05,5.72E-02,5.79E-01,1.27E-01,1.29E+00
46,128,OMP,0.0009084,8.36E-05,5.00E-02,6.72E-01,1.09E-01,1.46E+00
47,128,OMP,0.0008722,8.12E-05,5.21E-02,6.92E-01,1.11E-01,1.47E+00
48,128,OMP,0.000892,7.54E-05,5.09E-02,7.45E-01,1.06E-01,1.55E+00
49,128,OMP,0.0009014,7.64E-05,5.04E-02,7.36E-01,1.03E-01,1.50E+00
50,128,OMP,0.0008898,8.36E-05,5.10E-02,6.72E-01,1.02E-01,1.34E+00
51,128,OMP,0.0009306,7.92E-05,4.88E-02,7.10E-01,9.57E-02,1.39E+00
52,128,OMP,0.0009262,8.60E-05,4.90E-02,6.53E-01,9.43E-02,1.26E+00
53,128,OMP,0.000957,9.16E-05,4.74E-02,6.14E-01,8.95E-02,1.16E+00
54,128,OMP,0.0009468,9.72E-05,4.80E-02,5.78E-01,8.88E-02,1.07E+00
55,128,OMP,0.0009956,8.24E-05,4.56E-02,6.82E-01,8.29E-02,1.24E+00
56,128,OMP,0.0009884,7.94E-05,4.59E-02,7.08E-01,8.20E-02,1.26E+00
57,128,OMP,0.0010878,7.62E-05,4.17E-02,7.38E-01,7.32E-02,1.29E+00
58,128,OMP,0.0010108,8.42E-05,4.49E-02,6.67E-01,7.74E-02,1.15E+00
59,128,OMP,0.001065,8.68E-05,4.26E-02,6.47E-01,7.23E-02,1.10E+00
60,128,OMP,0.0010742,8.42E-05,4.23E-02,6.67E-01,7.04E-02,1.11E+00
61,128,OMP,0.0011336,7.88E-05,4.00E-02,7.13E-01,6.57E-02,1.17E+00
62,128,OMP,0.0011082,9.12E-05,4.10E-02,6.16E-01,6.61E-02,9.94E-01
63,128,OMP,0.0010788,9.38E-05,4.21E-02,5.99E-01,6.68E-02,9.51E-01
64,128,OMP,0.0011454,9.12E-05,3.96E-02,6.16E-01,6.19E-02,9.63E-01
65,128,OMP,0.001166,8.18E-05,3.89E-02,6.87E-01,5.99E-02,1.06E+00
66,128,OMP,0.0011922,8.40E-05,3.81E-02,6.69E-01,5.77E-02,1.01E+00
67,128,OMP,0.001205,8.26E-05,3.77E-02,6.80E-01,5.62E-02,1.02E+00
68,128,OMP,0.0012096,8.72E-05,3.75E-02,6.44E-01,5.52E-02,9.48E-01
69,128,OMP,0.001243,7.12E-05,3.65E-02,7.89E-01,5.29E-02,1.14E+00
70,128,OMP,0.0014284,8.38E-05,3.18E-02,6.71E-01,4.54E-02,9.58E-01
71,128,OMP,0.0012674,8.82E-05,3.58E-02,6.37E-01,5.05E-02,8.97E-01
72,128,OMP,0.0013458,8.58E-05,3.37E-02,6.55E-01,4.69E-02,9.10E-01
73,128,OMP,0.001301,9.82E-05,3.49E-02,5.72E-01,4.78E-02,7.84E-01
74,128,OMP,0.0014206,8.56E-05,3.20E-02,6.57E-01,4.32E-02,8.87E-01
75,128,OMP,0.0013636,8.26E-05,3.33E-02,6.80E-01,4.44E-02,9.07E-01
76,128,OMP,0.0014188,8.66E-05,3.20E-02,6.49E-01,4.21E-02,8.54E-01
77,128,OMP,0.0015084,8.46E-05,3.01E-02,6.64E-01,3.91E-02,8.63E-01
78,128,OMP,0.0015474,9.82E-05,2.93E-02,5.72E-01,3.76E-02,7.34E-01
79,128,OMP,0.001417,7.58E-05,3.20E-02,7.41E-01,4.06E-02,9.39E-01
80,128,OMP,0.0015254,9.22E-05,2.98E-02,6.10E-01,3.72E-02,7.62E-01
81,128,OMP,0.0015602,8.46E-05,2.91E-02,6.64E-01,3.59E-02,8.20E-01
82,128,OMP,0.0015616,8.58E-05,2.91E-02,6.55E-01,3.55E-02,7.99E-01
