Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
64,4,OMP,0.0012026,3.86E-05,3.33E-04,5.18E-03,5.20E-04,8.10E-03
65,4,OMP,0.0012036,3.64E-05,3.32E-04,5.49E-03,5.11E-04,8.45E-03
66,4,OMP,0.0011742,3.60E-05,3.41E-04,5.56E-03,5.16E-04,8.42E-03
67,4,OMP,0.0011986,3.96E-05,3.34E-04,5.05E-03,4.98E-04,7.54E-03
68,4,OMP,0.0012544,4.06E-05,3.19E-04,4.93E-03,4.69E-04,7.24E-03
69,4,OMP,0.0012236,3.78E-05,3.27E-04,5.29E-03,4.74E-04,7.67E-03
70,4,OMP,0.0013122,3.88E-05,3.05E-04,5.15E-03,4.35E-04,7.36E-03
71,4,OMP,0.0014052,4.10E-05,2.85E-04,4.88E-03,4.01E-04,6.87E-03
72,4,OMP,0.0012828,4.12E-05,3.12E-04,4.85E-03,4.33E-04,6.74E-03
73,4,OMP,0.0013026,4.26E-05,3.07E-04,4.69E-03,4.21E-04,6.43E-03
74,4,OMP,0.0014098,4.10E-05,2.84E-04,4.88E-03,3.83E-04,6.59E-03
75,4,OMP,0.0013698,3.88E-05,2.92E-04,5.15E-03,3.89E-04,6.87E-03
76,4,OMP,0.0013764,3.84E-05,2.91E-04,5.21E-03,3.82E-04,6.85E-03
77,4,OMP,0.0015206,4.04E-05,2.63E-04,4.95E-03,3.42E-04,6.43E-03
78,4,OMP,0.0014398,4.68E-05,2.78E-04,4.27E-03,3.56E-04,5.48E-03
79,4,OMP,0.0014594,4.62E-05,2.74E-04,4.33E-03,3.47E-04,5.48E-03
80,4,OMP,0.0014522,4.04E-05,2.75E-04,4.95E-03,3.44E-04,6.19E-03
81,4,OMP,0.0014972,4.62E-05,2.67E-04,4.33E-03,3.30E-04,5.34E-03
82,4,OMP,0.0016074,4.46E-05,2.49E-04,4.48E-03,3.03E-04,5.47E-03
83,4,OMP,0.0014918,4.64E-05,2.68E-04,4.31E-03,3.23E-04,5.19E-03
84,4,OMP,0.00157,4.24E-05,2.55E-04,4.72E-03,3.03E-04,5.62E-03
85,4,OMP,0.0028278,4.72E-05,1.41E-04,4.24E-03,1.66E-04,4.99E-03
86,4,OMP,0.0020918,4.58E-05,1.91E-04,4.37E-03,2.22E-04,5.08E-03
87,4,OMP,0.0021534,4.56E-05,1.86E-04,4.39E-03,2.14E-04,5.04E-03
88,4,OMP,0.003701,4.48E-05,1.08E-04,4.46E-03,1.23E-04,5.07E-03
89,4,OMP,0.003665,5.16E-05,1.09E-04,3.88E-03,1.23E-04,4.36E-03
90,4,OMP,0.0052884,0.0009852,7.56E-05,2.03E-04,8.40E-05,2.26E-04
91,4,OMP,0.005681,5.76E-05,7.04E-05,3.47E-03,7.74E-05,3.82E-03
92,4,OMP,0.0069012,5.38E-05,5.80E-05,3.72E-03,6.30E-05,4.04E-03
93,4,OMP,0.0071614,0.0010346,5.59E-05,1.93E-04,6.01E-05,2.08E-04
94,4,OMP,0.0084116,0.0066558,4.76E-05,3.00E-05,5.06E-05,3.20E-05
95,4,OMP,0.009038,0.0056964,4.43E-05,3.51E-05,4.66E-05,3.70E-05
96,4,OMP,0.009938,0.006689,4.02E-05,2.99E-05,4.19E-05,3.11E-05
1,8,SEQ,6.00E-07,2.00E-07,0,0,0,0
1,8,OMP,1.38E-05,2.00E-06,4.35E-02,1.00E-01,4.35E+00,1.00E+01
2,8,OMP,8.40E-05,8.00E-06,7.14E-03,2.50E-02,3.57E-01,1.25E+00
3,8,OMP,0.0001284,9.00E-06,4.67E-03,2.22E-02,1.56E-01,7.41E-01
4,8,OMP,0.000104,1.08E-05,5.77E-03,1.85E-02,1.44E-01,4.63E-01
5,8,OMP,0.0001178,1.12E-05,5.09E-03,1.79E-02,1.02E-01,3.57E-01
6,8,OMP,0.0001452,1.08E-05,4.13E-03,1.85E-02,6.89E-02,3.09E-01
7,8,OMP,0.0001518,1.14E-05,3.95E-03,1.75E-02,5.65E-02,2.51E-01
8,8,OMP,0.0001962,1.06E-05,3.06E-03,1.89E-02,3.82E-02,2.36E-01
9,8,OMP,0.0002558,1.08E-05,2.35E-03,1.85E-02,2.61E-02,2.06E-01
10,8,OMP,0.0002984,1.18E-05,2.01E-03,1.69E-02,2.01E-02,1.69E-01
11,8,OMP,0.000232,1.36E-05,2.59E-03,1.47E-02,2.35E-02,1.34E-01
12,8,OMP,0.0002838,1.34E-05,2.11E-03,1.49E-02,1.76E-02,1.24E-01
13,8,OMP,0.000383,1.36E-05,1.57E-03,1.47E-02,1.21E-02,1.13E-01
14,8,OMP,0.0002698,1.30E-05,2.22E-03,1.54E-02,1.59E-02,1.10E-01
15,8,OMP,0.0002792,1.96E-05,2.15E-03,1.02E-02,1.43E-02,6.80E-02
16,8,OMP,0.000359,1.74E-05,1.67E-03,1.15E-02,1.04E-02,7.18E-02
17,8,OMP,0.0003756,1.46E-05,1.60E-03,1.37E-02,9.40E-03,8.06E-02
18,8,OMP,0.0003474,1.46E-05,1.73E-03,1.37E-02,9.60E-03,7.61E-02
19,8,OMP,0.000422,1.76E-05,1.42E-03,1.14E-02,7.48E-03,5.98E-02
20,8,OMP,0.0005222,1.76E-05,1.15E-03,1.14E-02,5.74E-03,5.68E-02
21,8,OMP,0.0003982,1.68E-05,1.51E-03,1.19E-02,7.18E-03,5.67E-02
22,8,OMP,0.0004888,1.68E-05,1.23E-03,1.19E-02,5.58E-03,5.41E-02
23,8,OMP,0.0004136,1.78E-05,1.45E-03,1.12E-02,6.31E-03,4.89E-02
24,8,OMP,0.000426,1.82E-05,1.41E-03,1.10E-02,5.87E-03,4.58E-02
25,8,OMP,0.0004376,2.70E-05,1.37E-03,7.41E-03,5.48E-03,2.96E-02
26,8,OMP,0.0005054,1.92E-05,1.19E-03,1.04E-02,4.57E-03,4.01E-02
27,8,OMP,0.0004768,1.92E-05,1.26E-03,1.04E-02,4.66E-03,3.86E-02
28,8,OMP,0.0004942,1.84E-05,1.21E-03,1.09E-02,4.34E-03,3.88E-02
29,8,OMP,0.0005124,2.10E-05,1.17E-03,9.52E-03,4.04E-03,3.28E-02
30,8,OMP,0.0005448,2.16E-05,1.10E-03,9.26E-03,3.67E-03,3.09E-02
31,8,OMP,0.0005478,2.02E-05,1.10E-03,9.90E-03,3.53E-03,3.19E-02
