Dim,RollingMean_MatTranspose
4,5.6e-06
8,6.2e-06
16,8e-06
32,1.1800000000000002e-05
64,4.760000000000001e-05
128,8.740000000000001e-05
256,0.0004719999999999
512,0.0011132
1024,0.0023694
2048,0.0062388
4096,0.0132325999999999
