Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
1,4,SEQ,7.8e-06,0.0,,,,
1,4,OMP,1.82e-05,2.6e-06,0.4285714285714286,0.0,42.85714285714286,0.0
2,4,OMP,0.0001436,9e-06,0.054317548746518104,0.0,2.715877437325905,0.0
3,4,OMP,0.00012079999999999998,8.599999999999999e-06,0.06456953642384107,0.0,2.152317880794702,0.0
4,4,OMP,0.0001444,1e-05,0.05401662049861495,0.0,1.3504155124653738,0.0
5,4,OMP,0.0001212,9.6e-06,0.06435643564356436,0.0,1.2871287128712872,0.0
6,4,OMP,0.0001364,1.4400000000000006e-05,0.05718475073313783,0.0,0.9530791788856305,0.0
7,4,OMP,0.0001864,1.0800000000000002e-05,0.04184549356223176,0.0,0.5977927651747394,0.0
8,4,OMP,0.00026060000000000005,1.1599999999999999e-05,0.029930928626247116,0.0,0.37413660782808894,0.0
9,4,OMP,0.0002818,1.26e-05,0.027679205110007096,0.0,0.3075467234445233,0.0
10,4,OMP,0.00026020000000000004,1.2200000000000003e-05,0.029976940814757873,0.0,0.29976940814757874,0.0
11,4,OMP,0.00031160000000000004,2.42e-05,0.025032092426187418,0.0,0.22756447660170379,0.0
12,4,OMP,0.00028480000000000004,1.2600000000000005e-05,0.0273876404494382,0.0,0.22823033707865167,0.0
13,4,OMP,0.0003802,1.3e-05,0.020515518148342977,0.0,0.15781167806417673,0.0
14,4,OMP,0.0002888,1.4e-05,0.027008310249307475,0.0,0.1929165017807677,0.0
15,4,OMP,0.00033939999999999996,1.7199999999999998e-05,0.022981732469063054,0.0,0.15321154979375368,0.0
16,4,OMP,0.00034720000000000004,1.4199999999999996e-05,0.02246543778801843,0.0,0.14040898617511519,0.0
17,4,OMP,0.00043,1.5799999999999998e-05,0.018139534883720932,0.0,0.10670314637482901,0.0
18,4,OMP,0.0003556,1.7e-05,0.021934758155230594,0.0,0.12185976752905885,0.0
19,4,OMP,0.00046879999999999996,1.5999999999999992e-05,0.016638225255972697,0.0,0.08756960661038263,0.0
20,4,OMP,0.0005006,1.8e-05,0.015581302437075508,0.0,0.07790651218537753,0.0
21,4,OMP,0.0004602,1.64e-05,0.01694915254237288,0.0,0.08071025020177562,0.0
22,4,OMP,0.0004054,1.7199999999999998e-05,0.019240256536753823,0.0,0.08745571153069918,0.0
23,4,OMP,0.0005626000000000001,1.9600000000000002e-05,0.013864201919658724,0.0,0.06027913878112488,0.0
24,4,OMP,0.0005694,2.18e-05,0.013698630136986302,0.0,0.057077625570776266,0.0
25,4,OMP,0.0006236000000000001,1.84e-05,0.012508017960230915,0.0,0.050032071840923655,0.0
26,4,OMP,0.0005096,1.84e-05,0.015306122448979591,0.0,0.05886970172684458,0.0
27,4,OMP,0.0004746,1.86e-05,0.01643489254108723,0.0,0.060869972374397154,0.0
28,4,OMP,0.0005017999999999999,2.3e-05,0.015544041450777204,0.0,0.05551443375277573,0.0
29,4,OMP,0.0006990000000000001,2.3199999999999998e-05,0.0111587982832618,0.0,0.03847861476986828,0.0
30,4,OMP,0.0005558000000000001,2.2800000000000002e-05,0.014033825116948541,0.0,0.04677941705649514,0.0
31,4,OMP,0.0005577999999999999,2.6e-05,0.013983506633201867,0.0,0.04510808591355441,0.0
32,4,OMP,0.0006744000000000001,2.7800000000000005e-05,0.011565836298932382,0.0,0.03614323843416369,0.0
33,4,OMP,0.0007166000000000001,2.4e-05,0.010884733463578006,0.0,0.03298404079872123,0.0
34,4,OMP,0.0009672000000000001,2.5e-05,0.008064516129032258,0.0,0.023719165085388995,0.0
35,4,OMP,0.001045,2.2800000000000002e-05,0.007464114832535886,0.0,0.02132604237867396,0.0
36,4,OMP,0.0008825999999999998,2.42e-05,0.008837525492862,0.0,0.024548681924616667,0.0
37,4,OMP,0.000927,2.28e-05,0.008414239482200648,0.0,0.02274118778973148,0.0
38,4,OMP,0.0007046,2.7399999999999995e-05,0.01107011070110701,0.0,0.02913187026607108,0.0
39,4,OMP,0.0010768,2.560000000000001e-05,0.00724368499257058,0.0,0.01857355126300149,0.0
40,4,OMP,0.0008900000000000001,2.8999999999999997e-05,0.008764044943820224,0.0,0.021910112359550562,0.0
41,4,OMP,0.0006961999999999999,2.96e-05,0.01120367710428038,0.0,0.027326041717757026,0.0
42,4,OMP,0.0008903999999999999,2.8800000000000005e-05,0.008760107816711592,0.0,0.020857399563599027,0.0
43,4,OMP,0.0009576,2.92e-05,0.008145363408521303,0.0,0.01894270560121233,0.0
44,4,OMP,0.0008642000000000001,2.8199999999999998e-05,0.009025688498032862,0.0,0.02051292840462014,0.0
45,4,OMP,0.0007932000000000001,2.6600000000000006e-05,0.00983358547655068,0.0,0.021852412170112624,0.0
46,4,OMP,0.0009376,2.5e-05,0.008319112627986347,0.0,0.018085027452144232,0.0
47,4,OMP,0.0010183999999999998,2.8199999999999998e-05,0.007659073055773764,0.0,0.01629590011866758,0.0
48,4,OMP,0.0008686,3.24e-05,0.008979967764218283,0.0,0.018708266175454756,0.0
49,4,OMP,0.0010094,3.2399999999999995e-05,0.007727362789776105,0.0,0.015770128142400214,0.0
50,4,OMP,0.0008707999999999999,2.92e-05,0.008957280661460726,0.0,0.017914561322921452,0.0
51,4,OMP,0.0011894000000000002,2.96e-05,0.006557928367243987,0.0,0.012858683073027427,0.0
52,4,OMP,0.0010422,3.8799999999999994e-05,0.0074841681059297635,0.0,0.014392630972941852,0.0
