Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,IMP,2e-07,2e-07
1,8,IMP,4e-07,0.0
1,16,IMP,1.2e-06,1e-06
1,32,IMP,4.2000000000000004e-06,5.599999999999999e-06
1,64,IMP,1.1e-05,1.5799999999999998e-05
1,128,IMP,4.68e-05,6.66e-05
1,256,IMP,0.0001764,0.00027519999999999997
1,512,IMP,0.0007712,0.0019963999999999997
1,1024,IMP,0.0032920000000000007,0.0105264
1,2048,IMP,0.014390399999999998,0.0438564
1,4096,IMP,0.0837014,0.18331380000000003
