Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,8,1e-06,0.0,SEQ,8e-07,2e-07
1,8,2e-06,1e-06,IMP,6e-07,8e-07
1,8,1.5e-05,3e-06,OMP,1.32e-05,2.6e-06
2,8,0.000126,1e-05,OMP,8.98e-05,8.8e-06
3,8,8.9e-05,1e-05,OMP,9.54e-05,9.4e-06
4,8,0.000113,1.2e-05,OMP,0.0001296,1.3e-05
5,8,0.00026,1e-05,OMP,0.0001594,1.08e-05
6,8,0.000179,1e-05,OMP,0.0002076,1.54e-05
7,8,0.0002,1.2e-05,OMP,0.0001918,1.14e-05
8,8,0.000188,9e-06,OMP,0.0001696,1.1e-05
9,8,0.00046,1.7e-05,OMP,0.0003116,1.54e-05
10,8,0.000436,1.7e-05,OMP,0.00031,1.4e-05
11,8,0.0002,1.6e-05,OMP,0.00025,1.46e-05
12,8,0.000228,1e-05,OMP,0.0002332,1.16e-05
13,8,0.000275,1.4e-05,OMP,0.000259,1.58e-05
14,8,0.000586,1.2e-05,OMP,0.0003322,1.26e-05
15,8,0.000292,1.3e-05,OMP,0.0002776,1.56e-05
16,8,0.000322,1.3e-05,OMP,0.0003752,1.84e-05
17,8,0.000352,1.3e-05,OMP,0.000398,1.84e-05
18,8,0.000401,1.2e-05,OMP,0.0003538,1.66e-05
19,8,0.000755,1.5e-05,OMP,0.0005198,2.1e-05
20,8,0.000379,1.3e-05,OMP,0.0003666,1.78e-05
21,8,0.000479,1.9e-05,OMP,0.0004686,1.58e-05
22,8,0.000437,1.4e-05,OMP,0.0004356,1.58e-05
23,8,0.000404,1.3e-05,OMP,0.000689,2.48e-05
24,8,0.000408,2.2e-05,OMP,0.0004268,2.72e-05
25,8,0.000465,1.6e-05,OMP,0.0005552,1.82e-05
26,8,0.0005,1.5e-05,OMP,0.0005438,2.3e-05
27,8,0.000476,1.7e-05,OMP,0.0006016,2.08e-05
28,8,0.000488,1.7e-05,OMP,0.0005652,2.06e-05
29,8,0.000526,2.7e-05,OMP,0.000723,2.66e-05
30,8,0.000932,2.2e-05,OMP,0.0006948,2.44e-05
31,8,0.000577,1.9e-05,OMP,0.0006672,1.94e-05
32,8,0.000572,3.6e-05,OMP,0.0005752,2.58e-05
33,8,0.000582,1.9e-05,OMP,0.0005878,2.36e-05
34,8,0.000658,2.1e-05,OMP,0.000722,2.94e-05
35,8,0.000655,2.4e-05,OMP,0.0006194,2.78e-05
36,8,0.000627,6.3e-05,OMP,0.0007604,3.3e-05
37,8,0.000664,2.6e-05,OMP,0.0007626,2.42e-05
38,8,0.000728,1.9e-05,OMP,0.000674,2.56e-05
39,8,0.000728,2.8e-05,OMP,0.0009478,2.7e-05
40,8,0.000691,2.9e-05,OMP,0.0008428,3.72e-05
41,8,0.000705,3.3e-05,OMP,0.0006918,3.3e-05
42,8,0.001402,2.1e-05,OMP,0.0008468,3.06e-05
43,8,0.000757,2e-05,OMP,0.0008826,2.82e-05
44,8,0.000796,2.8e-05,OMP,0.000895,2.78e-05
45,8,0.000767,2.5e-05,OMP,0.0009014,2.98e-05
46,8,0.000858,3e-05,OMP,0.000888,3.26e-05
47,8,0.000835,3.5e-05,OMP,0.000834,3.06e-05
48,8,0.000818,2.2e-05,OMP,0.0008166,2.76e-05
49,8,0.000857,3.8e-05,OMP,0.0008492,3.58e-05
50,8,0.000974,3.1e-05,OMP,0.000878,3.12e-05
51,8,0.001573,2.8e-05,OMP,0.001161,2.58e-05
52,8,0.0009,3.3e-05,OMP,0.001165,3.18e-05
53,8,0.000974,4.9e-05,OMP,0.0009346,3.68e-05
54,8,0.000955,3.1e-05,OMP,0.000924,3.42e-05
55,8,0.001027,3.9e-05,OMP,0.0009686,3.44e-05
56,8,0.001045,3.7e-05,OMP,0.0011348,3.56e-05
57,8,0.000955,2.8e-05,OMP,0.0009834,3.86e-05
58,8,0.001018,3.8e-05,OMP,0.00113,4.92e-05
59,8,0.001647,2.6e-05,OMP,0.0012728,3.9e-05
60,8,0.001016,2.7e-05,OMP,0.0011444,3.52e-05
61,8,0.001005,0.0001,OMP,0.001151,4.82e-05
62,8,0.00112,3.6e-05,OMP,0.001197,4.92e-05
63,8,0.001082,2.5e-05,OMP,0.0012274,5.66e-05
64,8,0.001076,3.7e-05,OMP,0.0012572,3.58e-05
65,8,0.00189,3.1e-05,OMP,0.0014346,3.5e-05
66,8,0.001187,7e-05,OMP,0.0013038,4.36e-05
67,8,0.001181,2.5e-05,OMP,0.0011888,3.48e-05
68,8,0.001231,0.000174,OMP,0.0012022,5.98e-05
69,8,0.001127,2.7e-05,OMP,0.0013432,3.82e-05
70,8,0.001206,3.8e-05,OMP,0.0013356,4.54e-05
71,8,0.001597,4.1e-05,OMP,0.001427,4.86e-05
72,8,0.001712,3.7e-05,OMP,0.0015402,3.78e-05
73,8,0.001407,5e-05,OMP,0.0015604,4.08e-05
74,8,0.00149,3.8e-05,OMP,0.0016016,4.38e-05
75,8,0.001527,4e-05,OMP,0.0013816,3.14e-05
76,8,0.001737,5.5e-05,OMP,0.0015632,4.32e-05
77,8,0.001728,6.7e-05,OMP,0.0014908,4.34e-05
78,8,0.001425,6.2e-05,OMP,0.0014804,5.9e-05
79,8,0.001454,5e-05,OMP,0.0014654,4.74e-05
80,8,0.001456,5.6e-05,OMP,0.00165,4.24e-05
81,8,0.001453,5.7e-05,OMP,0.0015052,4.34e-05
82,8,0.001456,2.8e-05,OMP,0.0016596,5.3e-05
83,8,0.001614,3.5e-05,OMP,0.0016644,4.78e-05
84,8,0.001597,6.8e-05,OMP,0.0016264,5.2e-05
85,8,0.001594,3.9e-05,OMP,0.001797,5.08e-05
86,8,0.00214,0.000111,OMP,0.002067,5.86e-05
87,8,0.001598,4.9e-05,OMP,0.0016908,4.1e-05
88,8,0.001558,5.7e-05,OMP,0.004087,0.0009624
89,8,0.009714,0.004817,OMP,0.0038706,0.0010014
90,8,0.010582,0.009456,OMP,0.0041832,0.0019352
91,8,0.006624,6.3e-05,OMP,0.0059956,5.48e-05
92,8,0.010899,0.004776,OMP,0.0077052,0.0014474
93,8,0.009661,0.009465,OMP,0.0086394,0.0038278
94,8,0.009848,0.009475,OMP,0.0098862,0.003865
95,8,0.005115,5.2e-05,OMP,0.0082608,0.0038416
96,8,0.01011,0.009474,OMP,0.0101126,0.0057446
1,16,1e-06,1e-06,SEQ,1.6e-06,1e-06
1,16,2e-06,0.0,IMP,1.6e-06,8e-07
1,16,1.8e-05,3e-06,OMP,2.16e-05,4.2e-06
2,16,0.000117,6e-06,OMP,0.0001082,8e-06
3,16,9.4e-05,7e-06,OMP,9.04e-05,8e-06
4,16,0.000198,1.5e-05,OMP,0.0001418,1.24e-05
5,16,0.000108,1e-05,OMP,0.0001512,1.08e-05
6,16,0.000176,1e-05,OMP,0.0001644,1.02e-05
7,16,0.000148,9e-06,OMP,0.000214,1.18e-05
8,16,0.000191,1e-05,OMP,0.0002052,1.32e-05
9,16,0.000227,1.2e-05,OMP,0.000285,1.44e-05
10,16,0.000257,1.3e-05,OMP,0.0002696,1.64e-05
11,16,0.000194,1.2e-05,OMP,0.0002688,1.46e-05
12,16,0.00024,1.1e-05,OMP,0.0002396,1.44e-05
13,16,0.000296,1.2e-05,OMP,0.0002752,1.24e-05
14,16,0.000286,1.6e-05,OMP,0.0003294,1.48e-05
15,16,0.000607,1.5e-05,OMP,0.0004096,1.54e-05
16,16,0.000599,1.6e-05,OMP,0.0004676,1.46e-05
17,16,0.000352,1.5e-05,OMP,0.0003176,2.18e-05
18,16,0.000316,2.1e-05,OMP,0.000343,1.6e-05
19,16,0.000327,1.3e-05,OMP,0.0003918,2.2e-05
20,16,0.000751,1.6e-05,OMP,0.0005084,1.46e-05
21,16,0.00085,1.9e-05,OMP,0.0006486,1.86e-05
22,16,0.000725,1.4e-05,OMP,0.000611,1.76e-05
23,16,0.000445,1.4e-05,OMP,0.0004228,1.68e-05
24,16,0.000891,1.8e-05,OMP,0.0005246,1.76e-05
25,16,0.000964,2e-05,OMP,0.000541,2.08e-05
26,16,0.000507,2.2e-05,OMP,0.0006176,2.02e-05
27,16,0.000506,1.6e-05,OMP,0.0004946,2.4e-05
28,16,0.000765,2.5e-05,OMP,0.0005756,2.18e-05
29,16,0.000574,2.8e-05,OMP,0.0007236,2.26e-05
30,16,0.000567,2.1e-05,OMP,0.0007352,1.94e-05
31,16,0.000548,2.4e-05,OMP,0.0005602,2.3e-05
32,16,0.000586,2.7e-05,OMP,0.0008154,2.44e-05
33,16,0.000605,2.4e-05,OMP,0.0005918,2.12e-05
34,16,0.000641,2.5e-05,OMP,0.000738,2.86e-05
35,16,0.000935,2.2e-05,OMP,0.000861,2.7e-05
36,16,0.000967,2.2e-05,OMP,0.0008338,2.64e-05
37,16,0.000921,3.3e-05,OMP,0.0006956,2.92e-05
38,16,0.000642,2.9e-05,OMP,0.0007478,2.12e-05
39,16,0.00148,8.9e-05,OMP,0.000946,4.02e-05
40,16,0.001071,3.3e-05,OMP,0.0009736,2.6e-05
41,16,0.000666,2.8e-05,OMP,0.0006934,2.6e-05
42,16,0.001487,2e-05,OMP,0.0010126,2.2e-05
43,16,0.000796,4e-05,OMP,0.000916,2.84e-05
44,16,0.000857,0.000131,OMP,0.0009024,4.92e-05
45,16,0.001068,2.3e-05,OMP,0.0011032,2.1e-05
46,16,0.000826,1.8e-05,OMP,0.0010386,2.26e-05
47,16,0.001262,2.4e-05,OMP,0.0009306,3.86e-05
48,16,0.00086,3.6e-05,OMP,0.00096,2.5e-05
49,16,0.000823,3.6e-05,OMP,0.0010612,3.3e-05
50,16,0.001636,2.3e-05,OMP,0.0010404,3.28e-05
51,16,0.000934,2.6e-05,OMP,0.0009016,3.72e-05
52,16,0.001205,3.8e-05,OMP,0.0010344,3.32e-05
53,16,0.00094,4.7e-05,OMP,0.0009194,3.24e-05
54,16,0.000977,3.1e-05,OMP,0.0009552,2.64e-05
55,16,0.000934,2.2e-05,OMP,0.0011058,2.96e-05
56,16,0.000993,4.3e-05,OMP,0.0009856,3.1e-05
57,16,0.001047,4.1e-05,OMP,0.0009938,3e-05
58,16,0.000994,3e-05,OMP,0.0012146,2.88e-05
59,16,0.001083,2.7e-05,OMP,0.001195,3.9e-05
60,16,0.001388,2.4e-05,OMP,0.0012804,3.42e-05
61,16,0.001298,2.5e-05,OMP,0.0011596,3.68e-05
62,16,0.001167,3.1e-05,OMP,0.001174,2.92e-05
63,16,0.001171,5.4e-05,OMP,0.0011832,4.44e-05
64,16,0.001362,2.2e-05,OMP,0.0013304,3.22e-05
65,16,0.001078,3.7e-05,OMP,0.0011524,4.42e-05
66,16,0.001505,5.3e-05,OMP,0.0012026,5.78e-05
67,16,0.001335,2.7e-05,OMP,0.0013706,3.58e-05
68,16,0.001251,3.3e-05,OMP,0.0012442,3.74e-05
69,16,0.001272,4.7e-05,OMP,0.0013684,5.12e-05
70,16,0.001848,5.5e-05,OMP,0.0014628,4.62e-05
71,16,0.001279,2.8e-05,OMP,0.0012756,3.5e-05
72,16,0.00155,7.2e-05,OMP,0.0014078,7.28e-05
73,16,0.001293,2.5e-05,OMP,0.0013508,3.7e-05
74,16,0.00135,3.1e-05,OMP,0.0014106,4.38e-05
75,16,0.001878,4.6e-05,OMP,0.0015966,3.94e-05
76,16,0.001539,2.9e-05,OMP,0.001384,3.6e-05
77,16,0.001355,4.1e-05,OMP,0.0013876,4.14e-05
78,16,0.001384,5.6e-05,OMP,0.0014926,5.26e-05
79,16,0.001522,4.1e-05,OMP,0.0017002,5.22e-05
80,16,0.001397,6.2e-05,OMP,0.001407,4.82e-05
81,16,0.001548,6.5e-05,OMP,0.0014894,4.96e-05
82,16,0.001442,7e-05,OMP,0.0016214,7.18e-05
83,16,0.001495,5.3e-05,OMP,0.0017616,5.02e-05
84,16,0.001559,7.1e-05,OMP,0.0015596,4.3e-05
85,16,0.001558,7e-05,OMP,0.001634,6.04e-05
86,16,0.001608,6.7e-05,OMP,0.001732,4.78e-05
87,16,0.001951,4.6e-05,OMP,0.001961,5.16e-05
88,16,0.002208,4.8e-05,OMP,0.0017082,4.9e-05
89,16,0.002067,3.4e-05,OMP,0.0017002,5.3e-05
90,16,0.001631,4.3e-05,OMP,0.0017432,4.74e-05
91,16,0.004332,5.7e-05,OMP,0.0061674,0.0010168
92,16,0.008412,5.5e-05,OMP,0.0066476,5.46e-05
93,16,0.002699,3.5e-05,OMP,0.0063152,0.0019514
94,16,0.010327,0.00953,OMP,0.0111434,0.0057428
95,16,0.014764,0.004784,OMP,0.0093066,0.0038394
96,16,0.010071,0.009469,OMP,0.009162,0.006662
