Processes,Dim,Version,RollingMean_MatTranspose
77,32,MPI DT,0.0033194
78,32,MPI DT,0.003246
79,32,MPI DT,0.0012352
80,32,MPI DT,0.0007954000000000001
81,32,MPI DT,0.0007670000000000001
82,32,MPI DT,0.0010035999999999999
83,32,MPI DT,0.0009323999999999999
84,32,MPI DT,0.0032298
85,32,MPI DT,0.0010209999999999998
86,32,MPI DT,0.0007497999999999999
87,32,MPI DT,0.0056902
88,32,MPI DT,0.003238
89,32,MPI DT,0.0008766
90,32,MPI DT,0.0035536000000000005
91,32,MPI DT,0.006012399999999999
92,32,MPI DT,0.005795799999999999
93,32,MPI DT,0.0032471999999999996
94,32,MPI DT,0.0036108
95,32,MPI DT,0.015388199999999996
96,32,MPI DT,0.0105518
1,64,SEQ,2.76e-05
1,64,MPI BDV,0.00017979999999999998
4,64,MPI BDV,0.0006454
16,64,MPI BDV,0.0008513999999999999
64,64,MPI BDV,0.0011144
1,64,MPI DT,1.2e-05
2,64,MPI DT,5.9800000000000003e-05
3,64,MPI DT,5.6999999999999996e-05
4,64,MPI DT,6.200000000000002e-05
5,64,MPI DT,5.8599999999999995e-05
6,64,MPI DT,6.46e-05
7,64,MPI DT,6.1e-05
8,64,MPI DT,6.84e-05
9,64,MPI DT,8.700000000000001e-05
10,64,MPI DT,9.16e-05
11,64,MPI DT,0.000116
12,64,MPI DT,9.26e-05
13,64,MPI DT,0.0001036
14,64,MPI DT,0.0001336
15,64,MPI DT,0.000107
16,64,MPI DT,8.04e-05
17,64,MPI DT,0.0001232
18,64,MPI DT,0.0002462
19,64,MPI DT,0.0001406
20,64,MPI DT,0.0002986
21,64,MPI DT,0.0001358
22,64,MPI DT,0.0002298
23,64,MPI DT,0.00034100000000000005
24,64,MPI DT,0.0002444
25,64,MPI DT,0.000515
26,64,MPI DT,0.00044220000000000007
27,64,MPI DT,0.00042940000000000003
28,64,MPI DT,0.0001742
29,64,MPI DT,0.000447
30,64,MPI DT,0.0002452
31,64,MPI DT,0.00035860000000000004
32,64,MPI DT,0.0003062
33,64,MPI DT,0.000545
34,64,MPI DT,0.00039520000000000007
35,64,MPI DT,0.00031979999999999997
36,64,MPI DT,0.0005064000000000001
37,64,MPI DT,0.0006238000000000001
38,64,MPI DT,0.0006720000000000001
39,64,MPI DT,0.0004346
40,64,MPI DT,0.0007918000000000002
41,64,MPI DT,0.0004364
42,64,MPI DT,0.0010528
43,64,MPI DT,0.0006201999999999999
44,64,MPI DT,0.0004958
45,64,MPI DT,0.0011154
46,64,MPI DT,0.0005518000000000001
47,64,MPI DT,0.000786
48,64,MPI DT,0.0006608
49,64,MPI DT,0.00108
50,64,MPI DT,0.0005327999999999999
51,64,MPI DT,0.0005534
52,64,MPI DT,0.000923
53,64,MPI DT,0.0006211999999999999
54,64,MPI DT,0.0010864
55,64,MPI DT,0.0008298
56,64,MPI DT,0.0006416
57,64,MPI DT,0.0005451999999999999
58,64,MPI DT,0.000688
59,64,MPI DT,0.0007148
60,64,MPI DT,0.0007554
