Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
15,16,MPI DT,0.00028660000000000003,0.0003382
16,16,MPI DT,0.0006662,0.0002614
17,16,MPI DT,0.00038120000000000005,0.00032020000000000003
18,16,MPI DT,0.00042759999999999993,0.00016460000000000002
19,16,MPI DT,0.00034859999999999996,0.0005218
20,16,MPI DT,0.0004844000000000001,0.0004244
21,16,MPI DT,0.00037020000000000005,0.0008738000000000001
22,16,MPI DT,0.0006035999999999999,0.0005234
23,16,MPI DT,0.000328,0.00046200000000000006
24,16,MPI DT,0.0006132,0.0005384
25,16,MPI DT,0.000606,0.000535
26,16,MPI DT,0.0004944,0.0005378
27,16,MPI DT,0.0005082,0.000453
28,16,MPI DT,0.0002512,0.0004888
29,16,MPI DT,0.0005518000000000001,0.0005376000000000001
30,16,MPI DT,0.000372,0.0005076000000000001
31,16,MPI DT,0.00065,0.00048199999999999995
32,16,MPI DT,0.00046100000000000004,0.0005684
33,16,MPI DT,0.0006718,0.0005564
34,16,MPI DT,0.0003636,0.0005717999999999999
35,16,MPI DT,0.00037860000000000004,0.0005708
36,16,MPI DT,0.0005518,0.0004436
37,16,MPI DT,0.00022700000000000004,0.0005288
38,16,MPI DT,0.0008578,0.0005434
39,16,MPI DT,0.0005732000000000001,0.0006012
40,16,MPI DT,0.0004144,0.0006402
41,16,MPI DT,0.0003206,0.000534
42,16,MPI DT,0.00033499999999999996,0.0005172
43,16,MPI DT,0.0003798,0.0006213999999999999
44,16,MPI DT,0.0005324,0.0007944000000000001
45,16,MPI DT,0.0004444,0.0006056000000000001
46,16,MPI DT,0.0005656000000000001,0.0005384000000000001
47,16,MPI DT,0.00043420000000000004,0.0006468
48,16,MPI DT,0.0005461999999999999,0.0006016
49,16,MPI DT,0.0001924,0.0006268
50,16,MPI DT,0.0003286,0.0006303999999999999
51,16,MPI DT,0.0004726000000000001,0.0007716000000000001
52,16,MPI DT,0.0007218000000000001,0.0006374
53,16,MPI DT,0.0002984,0.000654
